EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
28.35	24.5	-5730.65	12.19	9.08	24.18	77.87	24.18	76143	9454.0	5546.0	15000.0
28.38	24.5	-5730.65	12.19	9.08	24.18	77.87	24.19	76144	9455.0	5545.0	15000.0
28.4	24.5	-12919.06	5.61	17.17	16.33	16.57	24.2	76145	9456.0	5544.0	15000.0
28.43	24.5	-12919.06	5.61	17.17	16.33	16.57	24.2	76146	9457.0	5543.0	15000.0
28.45	24.5	-12281.61	0.86	17.72	9.54	2.41	24.21	76147	9458.0	5542.0	15000.0
28.48	24.5	-12281.61	0.86	17.72	9.54	2.41	24.24	76148	9459.0	5541.0	15000.0
28.5	24.5	-11665.52	1.81	17.92	6.46	6.4	24.27	76149	9460.0	5540.0	15000.0
28.52	24.5	-11665.52	1.81	17.92	6.46	6.4	24.26	76150	9461.0	5539.0	15000.0
28.54	24.5	-11472.41	2.19	18.11	4.72	7.04	24.25	76151	9462.0	5538.0	15000.0
28.56	24.5	-11472.41	2.19	18.11	4.72	7.04	24.27	76152	9463.0	5537.0	15000.0
28.58	24.5	-11389.95	2.31	18.17	4.72	6.73	24.28	76153	9464.0	5536.0	15000.0
28.6	24.5	-11389.95	2.31	18.17	4.72	6.73	24.28	76154	9465.0	5535.0	15000.0
28.62	24.5	-11389.95	2.31	18.17	4.72	6.73	24.28	76155	9466.0	5534.0	15000.0
28.64	24.5	-11389.95	2.31	18.17	4.72	6.73	24.29	76156	9467.0	5533.0	15000.0
28.66	24.5	-11389.95	2.36	18.1	4.24	7.55	24.3	76157	9468.0	5532.0	15000.0
28.68	24.5	-11389.95	2.36	18.1	4.24	7.55	24.33	76158	9469.0	5531.0	15000.0
28.7	24.5	-11387.81	2.32	18.09	4.46	8.23	24.35	76159	9470.0	5530.0	15000.0
28.72	24.5	-11387.81	2.32	18.09	4.46	8.23	24.35	76160	9471.0	5529.0	15000.0
28.74	24.5	-11384.4	2.31	18.11	5.54	8.94	24.34	76161	9472.0	5528.0	15000.0
28.75	24.5	-11384.4	2.31	18.11	5.54	8.94	24.35	76162	9473.0	5527.0	15000.0
