EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
72.53	24.5	-1694.46	5.08	5.09	20.45	81.43	31.23	152355	6318.0	8682.0	15000.0
72.53	24.5	-1694.46	5.08	5.09	20.45	81.43	31.22	152356	6319.0	8681.0	15000.0
72.53	24.5	-10878.11	10.69	14.76	19.99	37.21	31.2	152357	6320.0	8680.0	15000.0
72.52	24.5	-10878.11	10.69	14.76	19.99	37.21	31.22	152358	6321.0	8679.0	15000.0
72.5	24.5	-11206.66	0.08	17.98	2.15	0.74	31.24	152359	6322.0	8678.0	15000.0
72.45	24.5	-11206.66	0.08	17.98	2.15	0.74	31.24	152360	6323.0	8677.0	15000.0
72.36	24.5	-11206.66	0.08	17.98	2.15	0.74	31.24	152361	6324.0	8676.0	15000.0
72.22	24.5	-11206.66	0.08	17.98	2.15	0.74	31.24	152362	6325.0	8675.0	15000.0
72.06	24.5	-10447.02	1.2	17.64	1.29	4.74	31.24	152363	6326.0	8674.0	15000.0
71.86	24.5	-10447.02	1.2	17.64	1.29	4.74	31.25	152364	6327.0	8673.0	15000.0
71.65	24.5	-10217.59	1.58	17.39	-1.04	6.65	31.26	152365	6328.0	8672.0	15000.0
71.42	24.5	-10217.59	1.58	17.39	-1.04	6.65	31.26	152366	6329.0	8671.0	15000.0
71.18	24.5	-10140.68	1.7	17.29	-1.25	6.69	31.25	152367	6330.0	8670.0	15000.0
70.94	24.5	-10140.68	1.7	17.29	-1.25	6.69	31.25	152368	6331.0	8669.0	15000.0
70.7	24.5	-10112.91	1.75	17.28	-0.89	6.77	31.25	152369	6332.0	8668.0	15000.0
70.46	24.5	-10112.91	1.75	17.28	-0.89	6.77	31.26	152370	6333.0	8667.0	15000.0
70.22	24.5	-10108.21	1.74	17.27	-0.34	7.09	31.26	152371	6334.0	8666.0	15000.0
69.98	24.5	-10108.21	1.74	17.27	-0.34	7.09	31.26	152372	6335.0	8665.0	15000.0
69.74	24.5	-10109.07	1.72	17.24	0.13	7.28	31.25	152373	6336.0	8664.0	15000.0
69.49	24.5	-10109.07	1.72	17.24	0.13	7.28	31.25	152374	6337.0	8663.0	15000.0
69.25	24.5	-10104.37	1.71	17.26	0.61	7.48	31.25	152375	6338.0	8662.0	15000.0
69.01	24.5	-10104.37	1.71	17.26	0.61	7.48	31.26	152376	6339.0	8661.0	15000.0
68.77	24.5	-10108.21	1.75	17.29	-0.75	6.52	31.26	152377	6340.0	8660.0	15000.0
68.53	24.5	-10108.21	1.75	17.29	-0.75	6.52	31.26	152378	6341.0	8659.0	15000.0
68.3	24.5	-10106.08	1.69	17.22	0.15	8.06	31.25	152379	6342.0	8658.0	15000.0
68.07	24.5	-10106.08	1.69	17.22	0.15	8.06	31.25	152380	6343.0	8657.0	15000.0
67.84	24.5	-10105.22	1.7	17.28	0.67	7.36	31.25	152381	6344.0	8656.0	15000.0
67.6	24.5	-10105.22	1.7	17.28	0.67	7.36	31.24	152382	6345.0	8655.0	15000.0
67.37	24.5	-10105.65	1.7	17.27	-0.45	6.69	31.23	152383	6346.0	8654.0	15000.0
67.14	24.5	-10105.65	1.7	17.27	-0.45	6.69	31.23	152384	6347.0	8653.0	15000.0
66.91	24.5	-10103.94	1.74	17.27	-1.23	5.91	31.23	152385	6348.0	8652.0	15000.0
66.68	24.5	-10103.94	1.74	17.27	-1.23	5.91	31.22	152386	6349.0	8651.0	15000.0
66.45	24.5	-10109.92	1.69	17.27	0.56	6.53	31.22	152387	6350.0	8650.0	15000.0
66.23	24.5	-10109.92	1.69	17.27	0.56	6.53	31.22	152388	6351.0	8649.0	15000.0
66.0	24.5	-10106.08	1.73	17.28	-0.26	7.64	31.22	152389	6352.0	8648.0	15000.0
65.78	24.5	-10106.08	1.73	17.28	-0.26	7.64	31.21	152390	6353.0	8647.0	15000.0
65.56	24.5	-10102.23	1.73	17.29	-0.9	7.12	31.21	152391	6354.0	8646.0	15000.0
65.34	24.5	-10102.23	1.73	17.29	-0.9	7.12	31.21	152392	6355.0	8645.0	15000.0
65.13	24.5	-10104.8	1.7	17.28	0.53	6.85	31.21	152393	6356.0	8644.0	15000.0
64.92	24.5	-10104.8	1.7	17.28	0.53	6.85	31.21	152394	6357.0	8643.0	15000.0
64.71	24.5	-9254.15	5.71	15.69	1.59	26.7	31.2	152395	6358.0	8642.0	15000.0
64.51	24.5	-9254.15	5.71	15.69	1.59	26.7	31.2	152396	6359.0	8641.0	15000.0
64.3	24.5	-9254.15	5.71	15.69	1.59	26.7	31.2	152397	6360.0	8640.0	15000.0
64.1	24.5	-9254.15	5.71	15.69	1.59	26.7	31.19	152398	6361.0	8639.0	15000.0
63.9	24.5	-9119.99	9.74	15.04	6.32	46.1	31.18	152399	6362.0	8638.0	15000.0
63.7	24.5	-9119.99	9.74	15.04	6.32	46.1	31.18	152400	6363.0	8637.0	15000.0
63.5	24.5	-9451.11	11.78	14.6	11.94	51.55	31.18	152401	6364.0	8636.0	15000.0
63.31	24.5	-9451.11	11.78	14.6	11.94	51.55	31.19	152402	6365.0	8635.0	15000.0
63.13	24.5	-9823.24	13.56	12.65	22.3	58.9	31.2	152403	6366.0	8634.0	15000.0
62.96	24.5	-9823.24	13.56	12.65	22.3	58.9	31.21	152404	6367.0	8633.0	15000.0
62.8	24.5	-9927.92	13.98	12.1	27.85	60.32	31.23	152405	6368.0	8632.0	15000.0
62.65	24.5	-9927.92	13.98	12.1	27.85	60.32	31.23	152406	6369.0	8631.0	15000.0
62.52	24.5	-9927.92	13.98	12.1	27.85	60.32	31.23	152407	6370.0	8630.0	15000.0
62.4	24.5	-9927.92	13.98	12.1	27.85	60.32	31.25	152408	6371.0	8629.0	15000.0
62.3	24.5	-10044.55	14.42	11.58	28.67	61.03	31.27	152409	6372.0	8628.0	15000.0
62.22	24.5	-10044.55	14.42	11.58	28.67	61.03	31.29	152410	6373.0	8627.0	15000.0
62.15	24.5	-10072.32	14.54	11.56	28.05	59.48	31.3	152411	6374.0	8626.0	15000.0
62.09	24.5	-10072.32	14.54	11.56	28.05	59.48	31.32	152412	6375.0	8625.0	15000.0
62.03	24.5	-10086.42	14.54	11.46	28.78	60.6	31.33	152413	6376.0	8624.0	15000.0
61.98	24.5	-10086.42	14.54	11.46	28.78	60.6	31.36	152414	6377.0	8623.0	15000.0
61.93	24.5	-10089.84	14.6	11.49	29.46	59.75	31.39	152415	6378.0	8622.0	15000.0
61.88	24.5	-10089.84	14.6	11.49	29.46	59.75	31.4	152416	6379.0	8621.0	15000.0
61.83	24.5	-10102.23	14.53	11.39	30.13	61.41	31.42	152417	6380.0	8620.0	15000.0
61.77	24.5	-10102.23	14.53	11.39	30.13	61.41	31.45	152418	6381.0	8619.0	15000.0
61.7	24.5	-10099.67	14.6	11.5	28.73	60.22	31.48	152419	6382.0	8618.0	15000.0
61.62	24.5	-10099.67	14.6	11.5	28.73	60.22	31.5	152420	6383.0	8617.0	15000.0
61.54	24.5	-10101.38	14.58	11.36	29.14	62.46	31.52	152421	6384.0	8616.0	15000.0
61.46	24.5	-10101.38	14.58	11.36	29.14	62.46	31.54	152422	6385.0	8615.0	15000.0
61.37	24.5	-10106.5	14.46	11.43	32.25	60.87	31.57	152423	6386.0	8614.0	15000.0
61.28	24.5	-10106.5	14.46	11.43	32.25	60.87	31.6	152424	6387.0	8613.0	15000.0
61.2	24.5	-10107.79	14.59	11.37	29.74	62.18	31.63	152425	6388.0	8612.0	15000.0
61.11	24.5	-10107.79	14.59	11.37	29.74	62.18	31.63	152426	6389.0	8611.0	15000.0
61.04	24.5	-10107.79	14.59	11.37	29.74	62.18	31.63	152427	6390.0	8610.0	15000.0
60.96	24.5	-10107.79	14.59	11.37	29.74	62.18	31.66	152428	6391.0	8609.0	15000.0
60.9	24.5	-10102.66	14.61	11.43	28.98	60.2	31.69	152429	6392.0	8608.0	15000.0
60.84	24.5	-10102.66	14.61	11.43	28.98	60.2	31.72	152430	6393.0	8607.0	15000.0
60.79	24.5	-10103.94	14.6	11.44	29.76	59.82	31.74	152431	6394.0	8606.0	15000.0
60.74	24.5	-10103.94	14.6	11.44	29.76	59.82	31.77	152432	6395.0	8605.0	15000.0
60.7	24.5	-10104.8	14.57	11.27	31.0	63.48	31.79	152433	6396.0	8604.0	15000.0
60.66	24.5	-10104.8	14.57	11.27	31.0	63.48	31.81	152434	6397.0	8603.0	15000.0
60.62	24.5	-10109.07	14.5	11.45	32.34	58.74	31.84	152435	6398.0	8602.0	15000.0
60.58	24.5	-10109.07	14.5	11.45	32.34	58.74	31.87	152436	6399.0	8601.0	15000.0
60.55	24.5	-10107.79	14.69	11.42	29.74	59.67	31.9	152437	6400.0	8600.0	15000.0
60.53	24.5	-10107.79	14.69	11.42	29.74	59.67	31.94	152438	6401.0	8599.0	15000.0
60.5	24.5	-10102.66	14.47	11.4	32.93	60.17	31.99	152439	6402.0	8598.0	15000.0
60.48	24.5	-10102.66	14.47	11.4	32.93	60.17	31.99	152440	6403.0	8597.0	15000.0
60.45	24.5	-10102.66	14.47	11.4	32.93	60.17	31.99	152441	6404.0	8596.0	15000.0
60.43	24.5	-10102.66	14.47	11.4	32.93	60.17	32.03	152442	6405.0	8595.0	15000.0
