EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
49.9	24.8	-9.4	0.0	0.0	0.0	47.7	29.92	216003	520.0	14480.0	15000.0
49.9	24.8	-9.4	0.0	0.0	0.0	47.7	29.92	216004	521.0	14479.0	15000.0
49.91	24.8	-9409.24	16.15	10.97	31.06	67.84	29.91	216005	522.0	14478.0	15000.0
49.91	24.8	-9409.24	16.15	10.97	31.06	67.84	29.91	216006	523.0	14477.0	15000.0
49.91	24.8	-9409.24	16.15	10.97	31.06	67.84	29.91	216007	524.0	14476.0	15000.0
49.91	24.8	-9409.24	16.15	10.97	31.06	67.84	29.94	216008	525.0	14475.0	15000.0
49.9	24.8	-11794.55	0.22	18.93	1.7	1.18	29.97	216009	526.0	14474.0	15000.0
49.88	24.8	-11794.55	0.22	18.93	1.7	1.18	29.95	216010	527.0	14473.0	15000.0
49.86	24.8	-10859.31	0.96	18.27	0.76	2.67	29.94	216011	528.0	14472.0	15000.0
49.82	24.8	-10859.31	0.96	18.27	0.76	2.67	29.95	216012	529.0	14471.0	15000.0
49.78	24.8	-10467.53	1.57	17.78	0.7	7.11	29.96	216013	530.0	14470.0	15000.0
49.72	24.8	-10467.53	1.57	17.78	0.7	7.11	29.97	216014	531.0	14469.0	15000.0
49.66	24.8	-10364.99	1.71	17.63	0.33	7.15	29.98	216015	532.0	14468.0	15000.0
49.59	24.8	-10364.99	1.71	17.63	0.33	7.15	29.98	216016	533.0	14467.0	15000.0
49.5	24.8	-10331.66	1.78	17.63	-0.45	7.03	29.99	216017	534.0	14466.0	15000.0
49.41	24.8	-10331.66	1.78	17.63	-0.45	7.03	29.99	216018	535.0	14465.0	15000.0
49.3	24.8	-10327.82	1.84	17.62	-0.2	6.52	30.0	216019	536.0	14464.0	15000.0
49.19	24.8	-10327.82	1.84	17.62	-0.2	6.52	30.01	216020	537.0	14463.0	15000.0
49.08	24.8	-10321.84	1.92	17.62	-0.42	6.75	30.02	216021	538.0	14462.0	15000.0
48.97	24.8	-10321.84	1.92	17.62	-0.42	6.75	30.02	216022	539.0	14461.0	15000.0
48.86	24.8	-10318.42	1.82	17.6	0.0	7.54	30.02	216023	540.0	14460.0	15000.0
48.75	24.8	-10318.42	1.82	17.6	0.0	7.54	30.02	216024	541.0	14459.0	15000.0
48.64	24.8	-10320.98	1.82	17.58	-0.16	7.77	30.03	216025	542.0	14458.0	15000.0
48.53	24.8	-10320.98	1.82	17.58	-0.16	7.77	30.03	216026	543.0	14457.0	15000.0
48.42	24.8	-10316.28	1.79	17.62	-0.04	6.25	30.04	216027	544.0	14456.0	15000.0
48.31	24.8	-10316.28	1.79	17.62	-0.04	6.25	30.04	216028	545.0	14455.0	15000.0
48.2	24.8	-10323.97	1.78	17.61	-0.12	6.41	30.04	216029	546.0	14454.0	15000.0
48.09	24.8	-10323.97	1.78	17.61	-0.12	6.41	30.05	216030	547.0	14453.0	15000.0
47.98	24.8	-10321.41	1.77	17.57	0.02	8.33	30.05	216031	548.0	14452.0	15000.0
47.87	24.8	-10321.41	1.77	17.57	0.02	8.33	30.05	216032	549.0	14451.0	15000.0
47.76	24.8	-10319.27	1.76	17.58	0.67	8.12	30.05	216033	550.0	14450.0	15000.0
47.65	24.8	-10319.27	1.76	17.58	0.67	8.12	30.05	216034	551.0	14449.0	15000.0
47.54	24.8	-10319.27	1.76	17.58	0.67	8.12	30.05	216035	552.0	14448.0	15000.0
47.43	24.8	-10319.27	1.76	17.58	0.67	8.12	30.04	216036	553.0	14447.0	15000.0
47.32	24.8	-10317.56	1.84	17.58	-0.44	7.86	30.04	216037	554.0	14446.0	15000.0
47.21	24.8	-10317.56	1.84	17.58	-0.44	7.86	30.04	216038	555.0	14445.0	15000.0
47.1	24.8	-10318.85	1.76	17.56	-0.54	7.92	30.05	216039	556.0	14444.0	15000.0
46.99	24.8	-10318.85	1.76	17.56	-0.54	7.92	30.05	216040	557.0	14443.0	15000.0
46.88	24.8	-10009.52	2.83	17.17	-0.84	11.71	30.06	216041	558.0	14442.0	15000.0
