EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
67.99	24.6	-4519.84	8.41	8.79	14.01	63.84	37.57	186037	7616.0	7384.0	15000.0
68.0	24.6	-4519.84	8.41	8.79	14.01	63.84	37.58	186038	7617.0	7383.0	15000.0
68.0	24.7	-6665.04	-0.1	10.84	0.58	-1.02	37.59	186039	7618.0	7382.0	15000.0
68.0	24.7	-6665.04	-0.1	10.84	0.58	-1.02	37.6	186040	7619.0	7381.0	15000.0
68.0	24.7	-5979.31	0.3	9.95	-0.34	1.4	37.61	186041	7620.0	7380.0	15000.0
67.99	24.7	-5979.31	0.3	9.95	-0.34	1.4	37.61	186042	7621.0	7379.0	15000.0
67.98	24.7	-5714.42	0.59	9.68	-0.43	4.62	37.61	186043	7622.0	7378.0	15000.0
67.96	24.7	-5714.42	0.59	9.68	-0.43	4.62	37.62	186044	7623.0	7377.0	15000.0
67.94	24.7	-5637.94	0.64	9.65	-0.15	4.3	37.62	186045	7624.0	7376.0	15000.0
67.9	24.7	-5637.94	0.64	9.65	-0.15	4.3	37.62	186046	7625.0	7375.0	15000.0
67.85	24.7	-5617.86	0.67	9.6	-0.16	4.32	37.62	186047	7626.0	7374.0	15000.0
67.78	24.7	-5617.86	0.67	9.6	-0.16	4.32	37.62	186048	7627.0	7373.0	15000.0
67.7	24.7	-5611.88	0.65	9.59	0.43	4.85	37.62	186049	7628.0	7372.0	15000.0
67.61	24.7	-5611.88	0.65	9.59	0.43	4.85	37.62	186050	7629.0	7371.0	15000.0
67.52	24.7	-5607.18	0.66	9.6	0.27	4.34	37.63	186051	7630.0	7370.0	15000.0
67.43	24.7	-5607.18	0.66	9.6	0.27	4.34	37.63	186052	7631.0	7369.0	15000.0
67.34	24.7	-5611.88	0.68	9.59	-0.94	4.36	37.63	186053	7632.0	7368.0	15000.0
67.25	24.7	-5611.88	0.68	9.59	-0.94	4.36	37.64	186054	7633.0	7367.0	15000.0
