EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
86.64	28.7	-11949.22	2.08	17.53	9.75	6.29	39.04	347861	14512.0	488.0	15000.0
86.61	28.7	-11949.22	2.08	17.53	9.75	6.29	39.05	347862	14513.0	487.0	15000.0
86.58	28.7	-10966.55	0.32	17.98	1.54	1.48	39.07	347863	14514.0	486.0	15000.0
86.55	28.7	-10966.55	0.32	17.98	1.54	1.48	39.07	347864	14515.0	485.0	15000.0
86.52	28.7	-10966.55	0.32	17.98	1.54	1.48	39.07	347865	14516.0	484.0	15000.0
86.49	28.7	-10966.55	0.32	17.98	1.54	1.48	39.07	347866	14517.0	483.0	15000.0
86.46	28.7	-10472.23	1.32	17.52	-0.85	4.87	39.08	347867	14518.0	482.0	15000.0
86.43	28.7	-10472.23	1.32	17.52	-0.85	4.87	39.09	347868	14519.0	481.0	15000.0
86.4	28.8	-10324.4	1.54	17.3	0.98	6.26	39.1	347869	14520.0	480.0	15000.0
86.38	28.8	-10324.4	1.54	17.3	0.98	6.26	39.11	347870	14521.0	479.0	15000.0
86.37	28.8	-10276.12	1.55	17.25	-0.56	5.1	39.12	347871	14522.0	478.0	15000.0
86.37	28.8	-10276.12	1.55	17.25	-0.56	5.1	39.13	347872	14523.0	477.0	15000.0
86.36	28.8	-10266.29	1.67	17.23	-1.04	6.62	39.13	347873	14524.0	476.0	15000.0
86.34	28.8	-10266.29	1.67	17.23	-1.04	6.62	39.13	347874	14525.0	475.0	15000.0
86.29	28.8	-10261.17	1.63	17.21	-0.27	7.0	39.14	347875	14526.0	474.0	15000.0
86.21	28.8	-10261.17	1.63	17.21	-0.27	7.0	39.15	347876	14527.0	473.0	15000.0
86.1	28.8	-10256.47	1.68	17.19	-0.96	7.11	39.16	347877	14528.0	472.0	15000.0
85.93	28.8	-10256.47	1.68	17.19	-0.96	7.11	39.15	347878	14529.0	471.0	15000.0
85.7	28.8	-10256.89	1.6	17.21	1.32	6.87	39.14	347879	14530.0	470.0	15000.0
85.44	28.8	-10256.89	1.6	17.21	1.32	6.87	39.14	347880	14531.0	469.0	15000.0
85.18	28.8	-10258.6	1.64	17.21	1.02	7.18	39.15	347881	14532.0	468.0	15000.0
84.92	28.8	-10258.6	1.64	17.21	1.02	7.18	39.15	347882	14533.0	467.0	15000.0
84.66	28.8	-10260.31	1.65	17.23	-0.26	5.92	39.16	347883	14534.0	466.0	15000.0
84.4	28.8	-10260.31	1.65	17.23	-0.26	5.92	39.16	347884	14535.0	465.0	15000.0
84.14	28.8	-10259.03	1.68	17.22	-0.87	6.86	39.16	347885	14536.0	464.0	15000.0
83.88	28.8	-10259.03	1.68	17.22	-0.87	6.86	39.16	347886	14537.0	463.0	15000.0
83.62	28.8	-10259.46	1.69	17.22	-0.84	7.25	39.15	347887	14538.0	462.0	15000.0
83.36	28.8	-10259.46	1.69	17.22	-0.84	7.25	39.15	347888	14539.0	461.0	15000.0
83.1	28.8	-10256.89	1.62	17.22	0.04	7.42	39.16	347889	14540.0	460.0	15000.0
82.84	28.8	-10256.89	1.62	17.22	0.04	7.42	39.15	347890	14541.0	459.0	15000.0
82.58	28.8	-10256.47	1.67	17.22	-0.35	7.2	39.14	347891	14542.0	458.0	15000.0
82.32	28.8	-10256.47	1.67	17.22	-0.35	7.2	39.14	347892	14543.0	457.0	15000.0
82.06	28.8	-10256.47	1.67	17.22	-0.35	7.2	39.14	347893	14544.0	456.0	15000.0
81.8	28.8	-10256.47	1.67	17.22	-0.35	7.2	39.14	347894	14545.0	455.0	15000.0
81.54	28.8	-10258.18	1.65	17.22	-0.62	6.94	39.15	347895	14546.0	454.0	15000.0
81.28	28.8	-10258.18	1.65	17.22	-0.62	6.94	39.15	347896	14547.0	453.0	15000.0
81.02	28.8	-10255.61	1.65	17.22	0.94	7.62	39.16	347897	14548.0	452.0	15000.0
80.76	28.8	-10255.61	1.65	17.22	0.94	7.62	39.16	347898	14549.0	451.0	15000.0
80.5	28.8	-9864.26	2.85	16.64	-0.01	12.78	39.15	347899	14550.0	450.0	15000.0
80.24	28.8	-9864.26	2.85	16.64	-0.01	12.78	39.15	347900	14551.0	449.0	15000.0
79.99	28.8	-9258.42	8.27	15.32	5.15	38.92	39.15	347901	14552.0	448.0	15000.0
79.75	28.8	-9258.42	8.27	15.32	5.15	38.92	39.14	347902	14553.0	447.0	15000.0
79.51	28.8	-9495.12	11.1	15.16	6.42	46.01	39.14	347903	14554.0	446.0	15000.0
79.27	28.8	-9495.12	11.1	15.16	6.42	46.01	39.14	347904	14555.0	445.0	15000.0
79.03	28.8	-9760.86	12.2	13.93	15.66	51.54	39.15	347905	14556.0	444.0	15000.0
78.8	28.8	-9760.86	12.2	13.93	15.66	51.54	39.15	347906	14557.0	443.0	15000.0
78.57	28.8	-9919.8	13.13	13.01	20.35	54.2	39.16	347907	14558.0	442.0	15000.0
78.33	28.8	-9919.8	13.13	13.01	20.35	54.2	39.17	347908	14559.0	441.0	15000.0
78.1	28.8	-10039.0	13.64	12.34	24.33	56.23	39.19	347909	14560.0	440.0	15000.0
77.87	28.8	-10039.0	13.64	12.34	24.33	56.23	39.19	347910	14561.0	439.0	15000.0
77.64	28.8	-10127.87	13.94	11.89	28.82	56.55	39.2	347911	14562.0	438.0	15000.0
77.41	28.8	-10127.87	13.94	11.89	28.82	56.55	39.22	347912	14563.0	437.0	15000.0
77.18	28.8	-10179.99	14.16	11.67	29.97	57.84	39.24	347913	14564.0	436.0	15000.0
76.96	28.8	-10179.99	14.16	11.67	29.97	57.84	39.26	347914	14565.0	435.0	15000.0
76.74	28.8	-10213.32	14.2	11.55	30.86	58.74	39.28	347915	14566.0	434.0	15000.0
76.53	28.8	-10213.32	14.2	11.55	30.86	58.74	39.3	347916	14567.0	433.0	15000.0
76.32	28.8	-10231.26	14.3	11.4	29.35	60.02	39.32	347917	14568.0	432.0	15000.0
76.11	28.8	-10231.26	14.3	11.4	29.35	60.02	39.36	347918	14569.0	431.0	15000.0
75.9	28.8	-10250.06	14.32	11.43	29.23	58.12	39.4	347919	14570.0	430.0	15000.0
75.7	28.8	-10250.06	14.32	11.43	29.23	58.12	39.43	347920	14571.0	429.0	15000.0
75.51	28.8	-10255.61	14.34	11.4	28.93	57.05	39.45	347921	14572.0	428.0	15000.0
75.33	28.8	-10255.61	14.34	11.4	28.93	57.05	39.47	347922	14573.0	427.0	15000.0
75.15	28.8	-10257.75	14.35	11.33	29.65	58.87	39.49	347923	14574.0	426.0	15000.0
74.99	28.8	-10257.75	14.35	11.33	29.65	58.87	39.52	347924	14575.0	425.0	15000.0
