EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
117.7	28.4	-2669.86	6.84	6.14	23.49	82.39	45.19	330815	12446.0	2554.0	15000.0
117.65	28.4	-2669.86	6.84	6.14	23.49	82.39	45.19	330816	12447.0	2553.0	15000.0
117.6	28.4	-7594.72	-0.08	12.26	0.63	-0.84	45.2	330817	12448.0	2552.0	15000.0
117.55	28.4	-7594.72	-0.08	12.26	0.63	-0.84	45.2	330818	12449.0	2551.0	15000.0
117.5	28.5	-7594.72	-0.08	12.26	0.63	-0.84	45.2	330819	12450.0	2550.0	15000.0
117.45	28.5	-7594.72	-0.08	12.26	0.63	-0.84	45.2	330820	12451.0	2549.0	15000.0
117.41	28.5	-6786.38	0.1	11.03	0.28	0.48	45.21	330821	12452.0	2548.0	15000.0
117.38	28.5	-6786.38	0.1	11.03	0.28	0.48	45.2	330822	12453.0	2547.0	15000.0
117.34	28.5	-6417.23	0.57	10.75	-0.54	3.39	45.2	330823	12454.0	2546.0	15000.0
117.31	28.5	-6417.23	0.57	10.75	-0.54	3.39	45.21	330824	12455.0	2545.0	15000.0
117.27	28.5	-6328.79	0.64	10.67	-0.45	4.14	45.23	330825	12456.0	2544.0	15000.0
117.24	28.5	-6328.79	0.64	10.67	-0.45	4.14	45.23	330826	12457.0	2543.0	15000.0
117.2	28.5	-6307.43	0.67	10.65	0.32	3.92	45.24	330827	12458.0	2542.0	15000.0
117.15	28.5	-6307.43	0.67	10.65	0.32	3.92	45.24	330828	12459.0	2541.0	15000.0
117.1	28.5	-6299.74	0.67	10.62	-0.56	4.03	45.25	330829	12460.0	2540.0	15000.0
117.03	28.5	-6299.74	0.67	10.62	-0.56	4.03	45.25	330830	12461.0	2539.0	15000.0
116.92	28.5	-6295.04	0.7	10.64	0.46	4.11	45.24	330831	12462.0	2538.0	15000.0
116.79	28.5	-6295.04	0.7	10.64	0.46	4.11	45.25	330832	12463.0	2537.0	15000.0
116.63	28.5	-6297.61	0.64	10.62	0.62	4.4	45.25	330833	12464.0	2536.0	15000.0
116.45	28.5	-6297.61	0.64	10.62	0.62	4.4	45.24	330834	12465.0	2535.0	15000.0
116.25	28.5	-6296.75	0.7	10.65	-0.32	4.17	45.24	330835	12466.0	2534.0	15000.0
116.03	28.5	-6296.75	0.7	10.65	-0.32	4.17	45.24	330836	12467.0	2533.0	15000.0
115.8	28.5	-6294.19	0.69	10.65	0.3	3.99	45.24	330837	12468.0	2532.0	15000.0
115.55	28.5	-6294.19	0.69	10.65	0.3	3.99	45.24	330838	12469.0	2531.0	15000.0
115.3	28.4	-6300.6	0.66	10.63	0.38	4.07	45.24	330839	12470.0	2530.0	15000.0
115.05	28.4	-6300.6	0.66	10.63	0.38	4.07	45.24	330840	12471.0	2529.0	15000.0
114.79	28.4	-6293.33	0.67	10.63	0.05	3.75	45.24	330841	12472.0	2528.0	15000.0
114.53	28.4	-6293.33	0.67	10.63	0.05	3.75	45.25	330842	12473.0	2527.0	15000.0
114.28	28.4	-6299.74	0.66	10.63	0.42	4.6	45.26	330843	12474.0	2526.0	15000.0
114.02	28.4	-6299.74	0.66	10.63	0.42	4.6	45.26	330844	12475.0	2525.0	15000.0
113.76	28.4	-6298.03	0.7	10.64	-0.29	3.51	45.25	330845	12476.0	2524.0	15000.0
113.5	28.4	-6298.03	0.7	10.64	-0.29	3.51	45.25	330846	12477.0	2523.0	15000.0
113.23	28.4	-6298.03	0.64	10.61	0.59	4.38	45.25	330847	12478.0	2522.0	15000.0
112.97	28.4	-6298.03	0.64	10.61	0.59	4.38	45.24	330848	12479.0	2521.0	15000.0
112.7	28.4	-6297.18	0.72	10.64	-0.65	4.11	45.23	330849	12480.0	2520.0	15000.0
112.43	28.4	-6297.18	0.72	10.64	-0.65	4.11	45.22	330850	12481.0	2519.0	15000.0
112.16	28.4	-6093.38	0.97	10.3	0.03	6.48	45.21	330851	12482.0	2518.0	15000.0
