EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
107.88	27.3	-5646.91	11.92	9.06	24.9	83.08	40.29	104897	2088.0	12912.0	15000.0
107.84	27.3	-5646.91	11.92	9.06	24.9	83.08	40.29	104898	2089.0	12911.0	15000.0
107.8	27.3	-12916.07	7.23	17.61	15.45	21.72	40.3	104899	2090.0	12910.0	15000.0
107.76	27.3	-12916.07	7.23	17.61	15.45	21.72	40.33	104900	2091.0	12909.0	15000.0
107.73	27.3	-12574.7	0.13	18.84	5.42	0.61	40.35	104901	2092.0	12908.0	15000.0
107.71	27.3	-12574.7	0.13	18.84	5.42	0.61	40.35	104902	2093.0	12907.0	15000.0
107.68	27.3	-11782.16	1.42	19.49	1.83	5.4	40.35	104903	2094.0	12906.0	15000.0
107.66	27.3	-11782.16	1.42	19.49	1.83	5.4	40.38	104904	2095.0	12905.0	15000.0
107.63	27.3	-11554.01	1.92	19.37	0.41	6.1	40.4	104905	2096.0	12904.0	15000.0
107.61	27.3	-11554.01	1.92	19.37	0.41	6.1	40.41	104906	2097.0	12903.0	15000.0
107.58	27.3	-11486.51	2.11	19.23	-0.13	8.57	40.42	104907	2098.0	12902.0	15000.0
107.54	27.3	-11486.51	2.11	19.23	-0.13	8.57	40.42	104908	2099.0	12901.0	15000.0
107.5	27.3	-11486.51	2.11	19.23	-0.13	8.57	40.42	104909	2100.0	12900.0	15000.0
107.43	27.3	-11486.51	2.11	19.23	-0.13	8.57	40.42	104910	2101.0	12899.0	15000.0
107.31	27.3	-11486.51	2.11	19.23	-0.13	8.57	40.42	104911	2102.0	12898.0	15000.0
107.14	27.3	-11486.51	2.11	19.23	-0.13	8.57	40.41	104912	2103.0	12897.0	15000.0
106.92	27.3	-11477.96	2.06	19.27	0.04	7.18	40.41	104913	2104.0	12896.0	15000.0
106.67	27.3	-11477.96	2.06	19.27	0.04	7.18	40.42	104914	2105.0	12895.0	15000.0
106.39	27.3	-11475.4	2.14	19.27	-1.41	7.44	40.44	104915	2106.0	12894.0	15000.0
106.08	27.3	-11475.4	2.14	19.27	-1.41	7.44	40.44	104916	2107.0	12893.0	15000.0
105.74	27.3	-11478.39	2.02	19.25	0.96	7.23	40.44	104917	2108.0	12892.0	15000.0
105.38	27.3	-11478.39	2.02	19.25	0.96	7.23	40.44	104918	2109.0	12891.0	15000.0
105.0	27.3	-11475.4	2.1	19.24	0.36	8.12	40.44	104919	2110.0	12890.0	15000.0
104.61	27.3	-11475.4	2.1	19.24	0.36	8.12	40.43	104920	2111.0	12889.0	15000.0
104.22	27.3	-11473.26	2.08	19.32	0.35	6.39	40.42	104921	2112.0	12888.0	15000.0
103.83	27.3	-11473.26	2.08	19.32	0.35	6.39	40.44	104922	2113.0	12887.0	15000.0
103.44	27.3	-11480.1	2.05	19.27	-1.25	7.19	40.45	104923	2114.0	12886.0	15000.0
103.05	27.3	-11480.1	2.05	19.27	-1.25	7.19	40.44	104924	2115.0	12885.0	15000.0
102.65	27.3	-11477.54	2.02	19.28	0.09	6.23	40.44	104925	2116.0	12884.0	15000.0
102.26	27.3	-11477.54	2.02	19.28	0.09	6.23	40.43	104926	2117.0	12883.0	15000.0
101.87	27.3	-11474.12	2.08	19.24	0.26	8.64	40.43	104927	2118.0	12882.0	15000.0
101.48	27.3	-11474.12	2.08	19.24	0.26	8.64	40.42	104928	2119.0	12881.0	15000.0
101.1	27.3	-11478.39	2.07	19.23	-0.19	8.04	40.42	104929	2120.0	12880.0	15000.0
100.72	27.3	-11478.39	2.07	19.23	-0.19	8.04	40.42	104930	2121.0	12879.0	15000.0
100.34	27.3	-11478.39	2.1	19.26	-0.65	7.23	40.42	104931	2122.0	12878.0	15000.0
99.96	27.3	-11478.39	2.1	19.26	-0.65	7.23	40.43	104932	2123.0	12877.0	15000.0
99.58	27.3	-10802.49	5.07	18.04	1.32	20.17	40.43	104933	2124.0	12876.0	15000.0
99.19	27.3	-10802.49	5.07	18.04	1.32	20.17	40.42	104934	2125.0	12875.0	15000.0
98.81	27.3	-10443.6	10.66	16.96	6.68	44.91	40.41	104935	2126.0	12874.0	15000.0
98.43	27.3	-10443.6	10.66	16.96	6.68	44.91	40.41	104936	2127.0	12873.0	15000.0
98.06	27.3	-10737.12	13.04	15.22	15.34	50.17	40.41	104937	2128.0	12872.0	15000.0
97.68	27.3	-10737.12	13.04	15.22	15.34	50.17	40.41	104938	2129.0	12871.0	15000.0
97.3	27.3	-10998.59	14.34	13.68	22.76	55.5	40.41	104939	2130.0	12870.0	15000.0
96.92	27.3	-10998.59	14.34	13.68	22.76	55.5	40.41	104940	2131.0	12869.0	15000.0
96.55	27.3	-10998.59	14.34	13.68	22.76	55.5	40.41	104941	2132.0	12868.0	15000.0
96.19	27.3	-10998.59	14.34	13.68	22.76	55.5	40.42	104942	2133.0	12867.0	15000.0
95.82	27.3	-11180.17	15.09	12.83	26.7	55.78	40.43	104943	2134.0	12866.0	15000.0
