EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
61.69	20.3	-15.38	0.0	0.0	0.0	42.67	31.9	457121	1016.0	13984.0	15000.0
61.7	20.3	-15.38	0.0	0.0	0.0	42.67	31.88	457122	1017.0	13983.0	15000.0
61.7	20.3	-9754.45	16.15	13.75	18.65	66.07	31.87	457123	1018.0	13982.0	15000.0
61.71	20.3	-9754.45	16.15	13.75	18.65	66.07	31.88	457124	1019.0	13981.0	15000.0
61.71	20.3	-12826.78	3.21	20.32	2.94	10.94	31.91	457125	1020.0	13980.0	15000.0
61.72	20.3	-12826.78	3.21	20.32	2.94	10.94	31.95	457126	1021.0	13979.0	15000.0
61.72	20.3	-11040.89	11.39	17.99	4.55	41.23	31.97	457127	1022.0	13978.0	15000.0
61.71	20.3	-11040.89	11.39	17.99	4.55	41.23	31.97	457128	1023.0	13977.0	15000.0
61.7	20.3	-11040.89	11.39	17.99	4.55	41.23	31.97	457129	1024.0	13976.0	15000.0
61.68	20.3	-11040.89	11.39	17.99	4.55	41.23	31.97	457130	1025.0	13975.0	15000.0
61.63	20.3	-11122.07	12.77	16.76	9.86	50.14	31.97	457131	1026.0	13974.0	15000.0
61.58	20.3	-11122.07	12.77	16.76	9.86	50.14	31.99	457132	1027.0	13973.0	15000.0
61.51	20.3	-11226.32	13.78	15.87	15.05	52.25	32.01	457133	1028.0	13972.0	15000.0
61.42	20.3	-11226.32	13.78	15.87	15.05	52.25	32.01	457134	1029.0	13971.0	15000.0
61.33	20.3	-11291.68	14.33	15.29	17.51	54.53	32.02	457135	1030.0	13970.0	15000.0
61.23	20.3	-11291.68	14.33	15.29	17.51	54.53	32.04	457136	1031.0	13969.0	15000.0
61.13	20.3	-11355.34	14.73	14.7	23.35	56.97	32.07	457137	1032.0	13968.0	15000.0
61.01	20.3	-11355.34	14.73	14.7	23.35	56.97	32.08	457138	1033.0	13967.0	15000.0
60.9	20.4	-11398.07	15.09	14.43	22.47	55.27	32.09	457139	1034.0	13966.0	15000.0
60.78	20.4	-11398.07	15.09	14.43	22.47	55.27	32.11	457140	1035.0	13965.0	15000.0
60.66	20.4	-11430.54	15.36	14.19	23.16	56.94	32.14	457141	1036.0	13964.0	15000.0
60.54	20.4	-11430.54	15.36	14.19	23.16	56.94	32.16	457142	1037.0	13963.0	15000.0
60.42	20.4	-11454.47	15.47	13.99	23.87	57.02	32.18	457143	1038.0	13962.0	15000.0
60.3	20.4	-11454.47	15.47	13.99	23.87	57.02	32.22	457144	1039.0	13961.0	15000.0
60.17	20.4	-11470.27	15.51	13.86	26.91	57.09	32.27	457145	1040.0	13960.0	15000.0
