EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
91.56	28.1	-628.48	2.44	4.75	-5.66	55.54	40.59	465743	14536.0	464.0	15000.0
91.55	28.1	-628.48	2.44	4.75	-5.66	55.54	40.59	465744	14537.0	463.0	15000.0
91.51	28.1	-8693.6	3.56	15.24	0.24	15.64	40.6	465745	14538.0	462.0	15000.0
91.45	28.1	-8693.6	3.56	15.24	0.24	15.64	40.61	465746	14539.0	461.0	15000.0
91.35	28.1	-8317.2	-0.33	13.45	0.24	-1.83	40.62	465747	14540.0	460.0	15000.0
91.2	28.1	-8317.2	-0.33	13.45	0.24	-1.83	40.62	465748	14541.0	459.0	15000.0
91.0	28.1	-7660.52	0.52	12.8	0.65	2.54	40.62	465749	14542.0	458.0	15000.0
90.77	28.1	-7660.52	0.52	12.8	0.65	2.54	40.63	465750	14543.0	457.0	15000.0
90.54	28.1	-7494.75	0.8	12.6	-0.34	4.8	40.64	465751	14544.0	456.0	15000.0
90.31	28.1	-7494.75	0.8	12.6	-0.34	4.8	40.65	465752	14545.0	455.0	15000.0
90.08	28.1	-7441.34	0.85	12.6	0.15	4.33	40.65	465753	14546.0	454.0	15000.0
89.85	28.1	-7441.34	0.85	12.6	0.15	4.33	40.66	465754	14547.0	453.0	15000.0
89.62	28.1	-7424.68	0.86	12.53	-0.77	4.74	40.67	465755	14548.0	452.0	15000.0
89.39	28.1	-7424.68	0.86	12.53	-0.77	4.74	40.67	465756	14549.0	451.0	15000.0
89.16	28.1	-7423.4	0.85	12.58	0.46	4.68	40.66	465757	14550.0	450.0	15000.0
88.93	28.1	-7423.4	0.85	12.58	0.46	4.68	40.67	465758	14551.0	449.0	15000.0
88.7	28.1	-7426.82	0.86	12.56	-0.26	4.84	40.67	465759	14552.0	448.0	15000.0
88.47	28.1	-7426.82	0.86	12.56	-0.26	4.84	40.67	465760	14553.0	447.0	15000.0
88.24	28.1	-7425.54	0.86	12.59	0.34	4.61	40.67	465761	14554.0	446.0	15000.0
88.01	28.1	-7425.54	0.86	12.59	0.34	4.61	40.67	465762	14555.0	445.0	15000.0
87.78	28.1	-7428.53	0.88	12.56	-0.62	5.05	40.67	465763	14556.0	444.0	15000.0
87.55	28.1	-7428.53	0.88	12.56	-0.62	5.05	40.67	465764	14557.0	443.0	15000.0
87.32	28.1	-7428.53	0.88	12.56	-0.62	5.05	40.67	465765	14558.0	442.0	15000.0
87.09	28.1	-7428.53	0.88	12.56	-0.62	5.05	40.67	465766	14559.0	441.0	15000.0
86.86	28.1	-7427.24	0.85	12.57	0.4	4.23	40.67	465767	14560.0	440.0	15000.0
86.63	28.1	-7427.24	0.85	12.57	0.4	4.23	40.67	465768	14561.0	439.0	15000.0
86.4	28.1	-7424.68	0.9	12.6	-0.26	4.29	40.68	465769	14562.0	438.0	15000.0
86.17	28.1	-7424.68	0.9	12.6	-0.26	4.29	40.67	465770	14563.0	437.0	15000.0
85.95	28.1	-7422.12	0.87	12.57	0.13	4.62	40.66	465771	14564.0	436.0	15000.0
85.72	28.1	-7422.12	0.87	12.57	0.13	4.62	40.66	465772	14565.0	435.0	15000.0
85.5	28.1	-7424.25	0.9	12.59	-0.77	4.58	40.67	465773	14566.0	434.0	15000.0
85.28	28.1	-7424.25	0.9	12.59	-0.77	4.58	40.67	465774	14567.0	433.0	15000.0
85.07	28.1	-7422.97	0.85	12.59	0.18	4.5	40.67	465775	14568.0	432.0	15000.0
84.85	28.1	-7422.97	0.85	12.59	0.18	4.5	40.67	465776	14569.0	431.0	15000.0
84.63	28.1	-7423.83	0.87	12.59	0.14	4.8	40.66	465777	14570.0	430.0	15000.0
84.42	28.1	-7423.83	0.87	12.59	0.14	4.8	40.66	465778	14571.0	429.0	15000.0
84.2	28.1	-7424.25	0.89	12.59	0.05	4.31	40.67	465779	14572.0	428.0	15000.0
83.99	28.1	-7424.25	0.89	12.59	0.05	4.31	40.66	465780	14573.0	427.0	15000.0
83.77	28.1	-6724.42	3.34	11.61	0.42	20.23	40.65	465781	14574.0	426.0	15000.0
83.56	28.1	-6724.42	3.34	11.61	0.42	20.23	40.65	465782	14575.0	425.0	15000.0
83.36	28.1	-6591.12	5.77	11.36	3.45	35.81	40.66	465783	14576.0	424.0	15000.0
83.16	28.1	-6591.12	5.77	11.36	3.45	35.81	40.65	465784	14577.0	423.0	15000.0
82.96	28.1	-6758.18	7.26	11.51	6.47	44.05	40.65	465785	14578.0	422.0	15000.0
82.77	28.1	-6758.18	7.26	11.51	6.47	44.05	40.65	465786	14579.0	421.0	15000.0
82.57	28.1	-6966.25	8.45	11.51	8.51	50.4	40.66	465787	14580.0	420.0	15000.0
82.39	28.1	-6966.25	8.45	11.51	8.51	50.4	40.67	465788	14581.0	419.0	15000.0
82.2	28.1	-7100.83	9.07	11.59	10.93	52.72	40.68	465789	14582.0	418.0	15000.0
82.02	28.1	-7100.83	9.07	11.59	10.93	52.72	40.69	465790	14583.0	417.0	15000.0
81.85	28.1	-7192.26	9.51	11.56	11.4	55.86	40.7	465791	14584.0	416.0	15000.0
81.69	28.1	-7192.26	9.51	11.56	11.4	55.86	40.71	465792	14585.0	415.0	15000.0
81.53	28.1	-7265.32	9.89	11.67	11.75	56.5	40.73	465793	14586.0	414.0	15000.0
81.38	28.1	-7265.32	9.89	11.67	11.75	56.5	40.76	465794	14587.0	413.0	15000.0
81.23	28.1	-7358.03	10.25	11.7	10.93	58.52	40.8	465795	14588.0	412.0	15000.0
81.09	28.1	-7358.03	10.25	11.7	10.93	58.52	40.8	465796	14589.0	411.0	15000.0
80.96	28.1	-7358.03	10.25	11.7	10.93	58.52	40.8	465797	14590.0	410.0	15000.0
80.83	28.1	-7358.03	10.25	11.7	10.93	58.52	40.84	465798	14591.0	409.0	15000.0
80.7	28.1	-7377.26	10.37	11.64	11.43	60.75	40.87	465799	14592.0	408.0	15000.0
80.58	28.1	-7377.26	10.37	11.64	11.43	60.75	40.88	465800	14593.0	407.0	15000.0
80.45	28.1	-7396.91	10.35	11.74	12.29	60.26	40.9	465801	14594.0	406.0	15000.0
80.34	28.1	-7396.91	10.35	11.74	12.29	60.26	40.93	465802	14595.0	405.0	15000.0
80.22	28.1	-7402.04	10.45	11.68	11.92	62.29	40.96	465803	14596.0	404.0	15000.0
80.11	28.1	-7402.04	10.45	11.68	11.92	62.29	40.99	465804	14597.0	403.0	15000.0
80.0	28.1	-7411.01	10.45	11.68	10.99	61.7	41.01	465805	14598.0	402.0	15000.0
79.89	28.1	-7411.01	10.45	11.68	10.99	61.7	41.03	465806	14599.0	401.0	15000.0
79.79	28.1	-7419.13	10.44	11.68	12.57	63.1	41.06	465807	14600.0	400.0	15000.0
79.69	28.1	-7419.13	10.44	11.68	12.57	63.1	41.09	465808	14601.0	399.0	15000.0
79.6	28.1	-7418.7	10.5	11.73	11.69	61.1	41.12	465809	14602.0	398.0	15000.0
79.51	28.1	-7418.7	10.5	11.73	11.69	61.1	41.16	465810	14603.0	397.0	15000.0
79.42	28.1	-7422.97	10.55	11.7	11.61	62.03	41.19	465811	14604.0	396.0	15000.0
79.34	28.1	-7422.97	10.55	11.7	11.61	62.03	41.22	465812	14605.0	395.0	15000.0
79.26	28.1	-7425.54	10.52	11.76	11.64	61.72	41.24	465813	14606.0	394.0	15000.0
79.18	28.1	-7425.54	10.52	11.76	11.64	61.72	41.27	465814	14607.0	393.0	15000.0
79.1	28.1	-7424.68	10.59	11.81	11.81	59.45	41.29	465815	14608.0	392.0	15000.0
79.02	28.1	-7424.68	10.59	11.81	11.81	59.45	41.32	465816	14609.0	391.0	15000.0
78.95	28.1	-7419.55	10.57	11.69	10.4	61.16	41.35	465817	14610.0	390.0	15000.0
78.87	28.1	-7419.55	10.57	11.69	10.4	61.16	41.37	465818	14611.0	389.0	15000.0
78.8	28.1	-7425.96	10.5	11.75	12.76	61.54	41.4	465819	14612.0	388.0	15000.0
78.73	28.1	-7425.96	10.5	11.75	12.76	61.54	41.44	465820	14613.0	387.0	15000.0
78.65	28.1	-7420.84	10.51	11.69	11.68	62.43	41.47	465821	14614.0	386.0	15000.0
78.58	28.1	-7420.84	10.51	11.69	11.68	62.43	41.5	465822	14615.0	385.0	15000.0
78.51	28.1	-7423.83	10.51	11.76	12.86	61.75	41.52	465823	14616.0	384.0	15000.0
78.44	28.1	-7423.83	10.51	11.76	12.86	61.75	41.55	465824	14617.0	383.0	15000.0
78.38	28.1	-7422.97	10.51	11.72	11.65	62.86	41.57	465825	14618.0	382.0	15000.0
78.32	28.1	-7422.97	10.51	11.72	11.65	62.86	41.59	465826	14619.0	381.0	15000.0
78.27	28.1	-7425.54	10.53	11.74	12.1	61.02	41.62	465827	14620.0	380.0	15000.0
78.23	28.1	-7425.54	10.53	11.74	12.1	61.02	41.64	465828	14621.0	379.0	15000.0
78.2	28.1	-7426.82	10.5	11.76	11.96	60.34	41.67	465829	14622.0	378.0	15000.0
78.18	28.1	-7426.82	10.5	11.76	11.96	60.34	41.7	465830	14623.0	377.0	15000.0
78.16	28.1	-7422.97	10.54	11.77	12.44	60.73	41.73	465831	14624.0	376.0	15000.0
78.15	28.1	-7422.97	10.54	11.77	12.44	60.73	41.75	465832	14625.0	375.0	15000.0
78.14	28.1	-7428.1	10.54	11.76	11.79	61.28	41.76	465833	14626.0	374.0	15000.0
78.14	28.1	-7428.1	10.54	11.76	11.79	61.28	41.76	465834	14627.0	373.0	15000.0
78.14	28.1	-7428.1	10.54	11.76	11.79	61.28	41.76	465835	14628.0	372.0	15000.0
78.13	28.1	-7428.1	10.54	11.76	11.79	61.28	41.79	465836	14629.0	371.0	15000.0
78.13	28.1	-7433.23	10.56	11.79	11.82	59.96	41.82	465837	14630.0	370.0	15000.0
78.12	28.1	-7433.23	10.56	11.79	11.82	59.96	41.85	465838	14631.0	369.0	15000.0
78.1	28.1	-7423.4	10.58	11.74	11.54	60.61	41.87	465839	14632.0	368.0	15000.0
78.08	28.1	-7423.4	10.58	11.74	11.54	60.61	41.88	465840	14633.0	367.0	15000.0
78.06	28.1	-7423.83	10.48	11.7	12.45	62.67	41.9	465841	14634.0	366.0	15000.0
78.04	28.1	-7423.83	10.48	11.7	12.45	62.67	41.93	465842	14635.0	365.0	15000.0
78.02	28.1	-7422.12	10.51	11.71	11.81	61.89	41.96	465843	14636.0	364.0	15000.0
78.0	28.1	-7422.12	10.51	11.71	11.81	61.89	41.98	465844	14637.0	363.0	15000.0
77.98	28.1	-7426.39	10.57	11.77	11.24	60.67	42.0	465845	14638.0	362.0	15000.0
77.96	28.1	-7426.39	10.57	11.77	11.24	60.67	42.02	465846	14639.0	361.0	15000.0
77.94	28.1	-7422.54	10.5	11.7	12.7	61.99	42.04	465847	14640.0	360.0	15000.0
77.92	28.1	-7422.54	10.5	11.7	12.7	61.99	42.08	465848	14641.0	359.0	15000.0
77.9	28.1	-7426.82	10.54	11.75	11.43	61.62	42.13	465849	14642.0	358.0	15000.0
77.88	28.1	-7426.82	10.54	11.75	11.43	61.62	42.15	465850	14643.0	357.0	15000.0
77.87	28.1	-7429.38	10.57	11.78	11.07	61.17	42.16	465851	14644.0	356.0	15000.0
77.85	28.1	-7429.38	10.57	11.78	11.07	61.17	42.19	465852	14645.0	355.0	15000.0
77.83	28.1	-7428.1	10.54	11.79	11.42	61.27	42.21	465853	14646.0	354.0	15000.0
77.82	28.1	-7428.1	10.54	11.79	11.42	61.27	42.22	465854	14647.0	353.0	15000.0
77.8	28.1	-7424.68	10.46	11.77	12.49	61.17	42.24	465855	14648.0	352.0	15000.0
77.8	28.1	-7424.68	10.46	11.77	12.49	61.17	42.26	465856	14649.0	351.0	15000.0
77.79	28.1	-7426.39	10.6	11.78	11.15	60.56	42.28	465857	14650.0	350.0	15000.0
77.79	28.1	-7426.39	10.6	11.78	11.15	60.56	42.3	465858	14651.0	349.0	15000.0
