EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
129.38	26.4	-2526.31	6.49	6.1	24.86	79.93	43.03	52351	5854.0	9146.0	15000.0
129.33	26.4	-2526.31	6.49	6.1	24.86	79.93	43.04	52352	5855.0	9145.0	15000.0
129.27	26.4	-11295.96	15.81	8.7	44.06	54.45	43.06	52353	5856.0	9144.0	15000.0
129.2	26.4	-11295.96	15.81	8.7	44.06	54.45	43.06	52354	5857.0	9143.0	15000.0
129.1	26.4	-12511.9	0.19	17.02	10.35	0.43	43.07	52355	5858.0	9142.0	15000.0
128.97	26.4	-12511.9	0.19	17.02	10.35	0.43	43.09	52356	5859.0	9141.0	15000.0
128.8	26.4	-11571.96	1.05	17.53	4.97	3.73	43.11	52357	5860.0	9140.0	15000.0
128.58	26.4	-11571.96	1.05	17.53	4.97	3.73	43.13	52358	5861.0	9139.0	15000.0
128.3	26.4	-11106.69	1.93	17.87	2.75	7.25	43.14	52359	5862.0	9138.0	15000.0
127.97	26.4	-11106.69	1.93	17.87	2.75	7.25	43.14	52360	5863.0	9137.0	15000.0
127.58	26.4	-11106.69	1.93	17.87	2.75	7.25	43.14	52361	5864.0	9136.0	15000.0
127.16	26.4	-11106.69	1.93	17.87	2.75	7.25	43.16	52362	5865.0	9135.0	15000.0
126.71	26.4	-11078.06	2.0	17.89	2.28	7.74	43.17	52363	5866.0	9134.0	15000.0
126.23	26.4	-11078.06	2.0	17.89	2.28	7.74	43.16	52364	5867.0	9133.0	15000.0
125.74	26.4	-11074.22	1.98	17.9	1.7	7.14	43.16	52365	5868.0	9132.0	15000.0
125.23	26.4	-11074.22	1.98	17.9	1.7	7.14	43.17	52366	5869.0	9131.0	15000.0
124.71	26.4	-11071.23	2.02	17.9	2.0	6.38	43.18	52367	5870.0	9130.0	15000.0
124.2	26.4	-11071.23	2.02	17.9	2.0	6.38	43.18	52368	5871.0	9129.0	15000.0
123.7	26.4	-11066.95	1.97	17.9	2.59	8.21	43.18	52369	5872.0	9128.0	15000.0
123.2	26.4	-11066.95	1.97	17.9	2.59	8.21	43.18	52370	5873.0	9127.0	15000.0
122.7	26.4	-11068.23	1.99	17.89	3.41	7.64	43.18	52371	5874.0	9126.0	15000.0
122.19	26.4	-11068.23	1.99	17.89	3.41	7.64	43.18	52372	5875.0	9125.0	15000.0
121.69	26.4	-11069.94	2.01	17.89	2.66	7.14	43.18	52373	5876.0	9124.0	15000.0
121.18	26.4	-11069.94	2.01	17.89	2.66	7.14	43.19	52374	5877.0	9123.0	15000.0
120.68	26.4	-11071.65	1.98	17.92	1.48	6.91	43.19	52375	5878.0	9122.0	15000.0
120.18	26.4	-11071.65	1.98	17.92	1.48	6.91	43.18	52376	5879.0	9121.0	15000.0
119.68	26.4	-11067.38	2.05	17.88	1.31	7.5	43.18	52377	5880.0	9120.0	15000.0
119.19	26.4	-11067.38	2.05	17.88	1.31	7.5	43.18	52378	5881.0	9119.0	15000.0
118.7	26.3	-11068.23	1.97	17.94	2.34	6.25	43.18	52379	5882.0	9118.0	15000.0
118.22	26.3	-11068.23	1.97	17.94	2.34	6.25	43.18	52380	5883.0	9117.0	15000.0
117.75	26.3	-11072.93	1.98	17.85	3.15	7.7	43.18	52381	5884.0	9116.0	15000.0
117.28	26.3	-11072.93	1.98	17.85	3.15	7.7	43.18	52382	5885.0	9115.0	15000.0
