EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
70.66	28.3	-1603.45	4.57	4.92	24.97	79.29	35.55	660781	14518.0	482.0	15000.0
70.64	28.3	-1603.45	4.57	4.92	24.97	79.29	35.54	660782	14519.0	481.0	15000.0
70.62	28.3	-10812.74	16.82	4.96	60.78	58.67	35.54	660783	14520.0	480.0	15000.0
70.6	28.3	-10812.74	16.82	4.96	60.78	58.67	35.56	660784	14521.0	479.0	15000.0
70.55	28.3	-12291.01	0.36	15.73	16.21	-0.04	35.57	660785	14522.0	478.0	15000.0
70.49	28.3	-12291.01	0.36	15.73	16.21	-0.04	35.59	660786	14523.0	477.0	15000.0
70.4	28.3	-11413.02	1.39	16.06	10.8	4.22	35.6	660787	14524.0	476.0	15000.0
70.27	28.3	-11413.02	1.39	16.06	10.8	4.22	35.61	660788	14525.0	475.0	15000.0
70.1	28.4	-11080.63	1.97	16.22	10.13	7.03	35.61	660789	14526.0	474.0	15000.0
69.91	28.4	-11080.63	1.97	16.22	10.13	7.03	35.61	660790	14527.0	473.0	15000.0
69.72	28.4	-11002.87	2.18	16.24	9.88	7.56	35.62	660791	14528.0	472.0	15000.0
69.53	28.4	-11002.87	2.18	16.24	9.88	7.56	35.63	660792	14529.0	471.0	15000.0
69.34	28.4	-10967.83	2.24	16.28	10.45	8.15	35.64	660793	14530.0	470.0	15000.0
69.15	28.4	-10967.83	2.24	16.28	10.45	8.15	35.65	660794	14531.0	469.0	15000.0
68.96	28.4	-10959.71	2.21	16.3	9.46	7.21	35.66	660795	14532.0	468.0	15000.0
68.77	28.4	-10959.71	2.21	16.3	9.46	7.21	35.67	660796	14533.0	467.0	15000.0
68.58	28.4	-10957.15	2.17	16.29	9.51	8.06	35.68	660797	14534.0	466.0	15000.0
68.39	28.4	-10957.15	2.17	16.29	9.51	8.06	35.69	660798	14535.0	465.0	15000.0
68.2	28.4	-10955.87	2.2	16.26	8.95	7.21	35.69	660799	14536.0	464.0	15000.0
68.01	28.4	-10955.87	2.2	16.26	8.95	7.21	35.69	660800	14537.0	463.0	15000.0
67.82	28.4	-10955.87	2.2	16.26	8.95	7.21	35.69	660801	14538.0	462.0	15000.0
67.63	28.4	-10955.87	2.2	16.26	8.95	7.21	35.71	660802	14539.0	461.0	15000.0
67.44	28.4	-10961.0	2.19	16.29	8.3	6.62	35.72	660803	14540.0	460.0	15000.0
67.25	28.4	-10961.0	2.19	16.29	8.3	6.62	35.72	660804	14541.0	459.0	15000.0
67.06	28.4	-10966.55	2.15	16.25	9.72	6.64	35.72	660805	14542.0	458.0	15000.0
