EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
94.24	25.4	-2.99	0.0	0.0	0.0	27.39	39.13	28021	3448.0	11552.0	15000.0
94.22	25.4	-2.99	0.0	0.0	0.0	27.39	39.11	28022	3449.0	11551.0	15000.0
94.2	25.4	-7986.94	7.56	14.02	5.79	36.04	39.09	28023	3450.0	11550.0	15000.0
94.17	25.4	-7986.94	7.56	14.02	5.79	36.04	39.08	28024	3451.0	11549.0	15000.0
94.13	25.4	-8498.35	-0.41	13.8	-0.31	-2.22	39.08	28025	3452.0	11548.0	15000.0
94.07	25.4	-8498.35	-0.41	13.8	-0.31	-2.22	39.09	28026	3453.0	11547.0	15000.0
93.98	25.4	-7762.21	0.46	12.98	-0.11	2.31	39.1	28027	3454.0	11546.0	15000.0
93.86	25.4	-7762.21	0.46	12.98	-0.11	2.31	39.11	28028	3455.0	11545.0	15000.0
93.7	25.7	-7508.85	0.8	12.71	0.48	4.51	39.12	28029	3456.0	11544.0	15000.0
93.51	25.7	-7508.85	0.8	12.71	0.48	4.51	39.12	28030	3457.0	11543.0	15000.0
93.3	25.7	-7449.46	0.9	12.66	0.12	4.06	39.12	28031	3458.0	11542.0	15000.0
93.07	25.7	-7449.46	0.9	12.66	0.12	4.06	39.12	28032	3459.0	11541.0	15000.0
92.84	25.7	-7449.46	0.9	12.66	0.12	4.06	39.12	28033	3460.0	11540.0	15000.0
92.59	25.7	-7449.46	0.9	12.66	0.12	4.06	39.13	28034	3461.0	11539.0	15000.0
92.33	25.7	-7428.1	0.95	12.66	-0.39	4.22	39.14	28035	3462.0	11538.0	15000.0
92.07	25.7	-7428.1	0.95	12.66	-0.39	4.22	39.13	28036	3463.0	11537.0	15000.0
91.81	25.7	-7426.39	0.89	12.63	-0.07	5.18	39.13	28037	3464.0	11536.0	15000.0
91.55	25.7	-7426.39	0.89	12.63	-0.07	5.18	39.14	28038	3465.0	11535.0	15000.0
91.3	25.7	-7422.97	0.94	12.65	-0.33	4.21	39.15	28039	3466.0	11534.0	15000.0
91.05	25.7	-7422.97	0.94	12.65	-0.33	4.21	39.15	28040	3467.0	11533.0	15000.0
90.8	25.7	-7423.83	0.89	12.62	0.49	5.16	39.15	28041	3468.0	11532.0	15000.0
90.55	25.7	-7423.83	0.89	12.62	0.49	5.16	39.15	28042	3469.0	11531.0	15000.0
90.3	25.7	-7422.97	0.91	12.62	0.27	4.69	39.15	28043	3470.0	11530.0	15000.0
90.05	25.7	-7422.97	0.91	12.62	0.27	4.69	39.15	28044	3471.0	11529.0	15000.0
89.8	25.7	-7434.08	0.89	12.61	0.46	5.29	39.15	28045	3472.0	11528.0	15000.0
89.55	25.7	-7434.08	0.89	12.61	0.46	5.29	39.15	28046	3473.0	11527.0	15000.0
89.3	25.7	-7425.96	0.87	12.61	-0.04	4.6	39.15	28047	3474.0	11526.0	15000.0
89.05	25.7	-7425.96	0.87	12.61	-0.04	4.6	39.15	28048	3475.0	11525.0	15000.0
88.8	25.6	-7421.69	0.9	12.65	0.01	4.27	39.15	28049	3476.0	11524.0	15000.0
88.55	25.6	-7421.69	0.9	12.65	0.01	4.27	39.15	28050	3477.0	11523.0	15000.0
88.3	25.6	-7425.54	0.88	12.63	0.12	4.43	39.15	28051	3478.0	11522.0	15000.0
88.05	25.6	-7425.54	0.88	12.63	0.12	4.43	39.14	28052	3479.0	11521.0	15000.0
87.8	25.6	-7425.96	0.9	12.64	-0.82	4.67	39.14	28053	3480.0	11520.0	15000.0
87.55	25.6	-7425.96	0.9	12.64	-0.82	4.67	39.14	28054	3481.0	11519.0	15000.0
87.3	25.6	-7427.67	0.89	12.63	0.4	4.39	39.14	28055	3482.0	11518.0	15000.0
87.05	25.6	-7427.67	0.89	12.63	0.4	4.39	39.14	28056	3483.0	11517.0	15000.0
86.8	25.6	-7426.39	0.91	12.63	0.23	4.5	39.14	28057	3484.0	11516.0	15000.0
86.55	25.6	-7426.39	0.91	12.63	0.23	4.5	39.14	28058	3485.0	11515.0	15000.0
86.3	25.8	-7426.39	0.91	12.63	0.23	4.5	39.14	28059	3486.0	11514.0	15000.0
86.06	25.8	-7426.39	0.91	12.63	0.23	4.5	39.14	28060	3487.0	11513.0	15000.0
85.82	25.8	-6510.37	4.4	11.3	2.13	27.83	39.14	28061	3488.0	11512.0	15000.0
85.6	25.8	-6510.37	4.4	11.3	2.13	27.83	39.14	28062	3489.0	11511.0	15000.0
85.39	25.8	-6480.47	6.86	11.12	5.5	44.32	39.14	28063	3490.0	11510.0	15000.0
85.18	25.8	-6480.47	6.86	11.12	5.5	44.32	39.15	28064	3491.0	11509.0	15000.0
84.98	25.8	-6714.6	8.44	11.09	9.66	52.52	39.16	28065	3492.0	11508.0	15000.0
84.78	25.8	-6714.6	8.44	11.09	9.66	52.52	39.15	28066	3493.0	11507.0	15000.0
84.58	25.8	-6922.67	9.49	11.19	11.67	58.2	39.15	28067	3494.0	11506.0	15000.0
