EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
75.57	29.0	-2266.97	5.9	4.68	27.71	89.8	42.15	886431	6844.0	8156.0	15000.0
75.55	29.0	-2266.97	5.9	4.68	27.71	89.8	42.15	886432	6845.0	8155.0	15000.0
75.52	29.0	-8813.66	11.52	12.66	6.2	61.24	42.16	886433	6846.0	8154.0	15000.0
75.49	29.0	-8813.66	11.52	12.66	6.2	61.24	42.18	886434	6847.0	8153.0	15000.0
75.45	29.0	-9812.56	-0.24	15.53	0.32	-2.3	42.19	886435	6848.0	8152.0	15000.0
75.4	29.0	-9812.56	-0.24	15.53	0.32	-2.3	42.2	886436	6849.0	8151.0	15000.0
75.34	29.0	-8901.67	0.47	14.71	-0.09	1.61	42.2	886437	6850.0	8150.0	15000.0
75.28	29.0	-8901.67	0.47	14.71	-0.09	1.61	42.2	886438	6851.0	8149.0	15000.0
75.2	29.0	-8901.67	0.47	14.71	-0.09	1.61	42.2	886439	6852.0	8148.0	15000.0
75.11	29.0	-8901.67	0.47	14.71	-0.09	1.61	42.21	886440	6853.0	8147.0	15000.0
75.02	29.0	-8532.96	0.97	14.25	-0.02	5.46	42.22	886441	6854.0	8146.0	15000.0
74.92	29.0	-8532.96	0.97	14.25	-0.02	5.46	42.23	886442	6855.0	8145.0	15000.0
74.82	29.0	-8437.68	1.11	14.14	-0.99	6.26	42.24	886443	6856.0	8144.0	15000.0
74.71	29.0	-8437.68	1.11	14.14	-0.99	6.26	42.24	886444	6857.0	8143.0	15000.0
74.6	29.0	-8405.21	1.21	14.16	-1.06	4.0	42.24	886445	6858.0	8142.0	15000.0
74.48	29.0	-8405.21	1.21	14.16	-1.06	4.0	42.24	886446	6859.0	8141.0	15000.0
74.35	29.0	-8393.67	1.21	14.17	-1.7	4.34	42.25	886447	6860.0	8140.0	15000.0
74.23	29.0	-8393.67	1.21	14.17	-1.7	4.34	42.26	886448	6861.0	8139.0	15000.0
74.1	29.0	-8395.38	1.07	14.05	-0.07	7.48	42.27	886449	6862.0	8138.0	15000.0
73.97	29.0	-8395.38	1.07	14.05	-0.07	7.48	42.27	886450	6863.0	8137.0	15000.0
73.84	29.0	-8395.81	1.02	14.09	1.44	7.27	42.27	886451	6864.0	8136.0	15000.0
73.71	29.0	-8395.81	1.02	14.09	1.44	7.27	42.28	886452	6865.0	8135.0	15000.0
73.58	29.0	-8394.53	1.07	14.17	2.34	4.82	42.28	886453	6866.0	8134.0	15000.0
73.45	29.0	-8394.53	1.07	14.17	2.34	4.82	42.28	886454	6867.0	8133.0	15000.0
73.32	29.0	-8389.4	1.14	14.19	0.75	3.58	42.27	886455	6868.0	8132.0	15000.0
73.19	29.0	-8389.4	1.14	14.19	0.75	3.58	42.28	886456	6869.0	8131.0	15000.0
73.06	29.0	-8383.85	1.18	14.11	-1.36	5.32	42.28	886457	6870.0	8130.0	15000.0
72.93	29.0	-8383.85	1.18	14.11	-1.36	5.32	42.27	886458	6871.0	8129.0	15000.0
