EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
90.2	25.5	-3.85	0.0	0.0	0.0	28.11	38.16	25339	3010.0	11990.0	15000.0
90.15	25.5	-3.85	0.0	0.0	0.0	28.11	38.13	25340	3011.0	11989.0	15000.0
90.09	25.5	-8008.3	7.55	14.12	4.49	35.49	38.11	25341	3012.0	11988.0	15000.0
90.03	25.5	-8008.3	7.55	14.12	4.49	35.49	38.12	25342	3013.0	11987.0	15000.0
89.95	25.5	-8493.22	-0.38	13.82	-0.31	-2.12	38.13	25343	3014.0	11986.0	15000.0
89.86	25.5	-8493.22	-0.38	13.82	-0.31	-2.12	38.13	25344	3015.0	11985.0	15000.0
89.76	25.5	-7761.78	0.43	12.98	0.09	2.36	38.14	25345	3016.0	11984.0	15000.0
89.63	25.5	-7761.78	0.43	12.98	0.09	2.36	38.15	25346	3017.0	11983.0	15000.0
89.48	25.5	-7510.13	0.78	12.76	0.59	4.36	38.16	25347	3018.0	11982.0	15000.0
89.3	25.5	-7510.13	0.78	12.76	0.59	4.36	38.17	25348	3019.0	11981.0	15000.0
89.1	25.5	-7449.03	0.9	12.7	-0.6	4.2	38.17	25349	3020.0	11980.0	15000.0
88.87	25.5	-7449.03	0.9	12.7	-0.6	4.2	38.17	25350	3021.0	11979.0	15000.0
88.63	25.5	-7429.81	0.93	12.69	-1.0	4.63	38.17	25351	3022.0	11978.0	15000.0
88.38	25.5	-7429.81	0.93	12.69	-1.0	4.63	38.17	25352	3023.0	11977.0	15000.0
88.13	25.5	-7427.24	0.9	12.63	0.49	5.51	38.18	25353	3024.0	11976.0	15000.0
87.87	25.5	-7427.24	0.9	12.63	0.49	5.51	38.18	25354	3025.0	11975.0	15000.0
87.6	25.5	-7422.97	0.9	12.63	0.26	4.74	38.18	25355	3026.0	11974.0	15000.0
87.34	25.5	-7422.97	0.9	12.63	0.26	4.74	38.18	25356	3027.0	11973.0	15000.0
87.09	25.5	-7420.84	0.91	12.66	0.35	4.74	38.19	25357	3028.0	11972.0	15000.0
86.84	25.5	-7420.84	0.91	12.66	0.35	4.74	38.19	25358	3029.0	11971.0	15000.0
86.6	25.5	-7425.96	0.92	12.65	-0.24	5.16	38.19	25359	3030.0	11970.0	15000.0
86.37	25.5	-7425.96	0.92	12.65	-0.24	5.16	38.18	25360	3031.0	11969.0	15000.0
86.14	25.5	-7422.54	0.93	12.67	0.09	4.69	38.18	25361	3032.0	11968.0	15000.0
85.91	25.5	-7422.54	0.93	12.67	0.09	4.69	38.19	25362	3033.0	11967.0	15000.0
85.68	25.5	-7425.11	0.91	12.66	0.22	4.59	38.19	25363	3034.0	11966.0	15000.0
85.45	25.5	-7425.11	0.91	12.66	0.22	4.59	38.19	25364	3035.0	11965.0	15000.0
85.22	25.5	-7425.11	0.91	12.66	0.22	4.59	38.19	25365	3036.0	11964.0	15000.0
84.99	25.5	-7425.11	0.91	12.66	0.22	4.59	38.19	25366	3037.0	11963.0	15000.0
84.76	25.5	-7423.4	0.9	12.67	0.23	4.61	38.19	25367	3038.0	11962.0	15000.0
84.53	25.5	-7423.4	0.9	12.67	0.23	4.61	38.19	25368	3039.0	11961.0	15000.0
84.3	25.5	-7422.97	0.89	12.65	0.07	5.06	38.19	25369	3040.0	11960.0	15000.0
