EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
51.29	24.0	-1644.47	4.99	5.02	20.05	76.8	28.91	93421	9212.0	5788.0	15000.0
51.3	24.0	-1644.47	4.99	5.02	20.05	76.8	28.91	93422	9213.0	5787.0	15000.0
51.31	24.0	-11007.14	16.99	6.68	52.96	57.51	28.92	93423	9214.0	5786.0	15000.0
51.33	24.0	-11007.14	16.99	6.68	52.96	57.51	28.92	93424	9215.0	5785.0	15000.0
51.34	24.0	-12977.6	0.79	16.69	15.91	1.78	28.92	93425	9216.0	5784.0	15000.0
51.35	24.0	-12977.6	0.79	16.69	15.91	1.78	28.93	93426	9217.0	5783.0	15000.0
51.35	24.0	-12035.09	1.48	17.11	11.35	4.91	28.94	93427	9218.0	5782.0	15000.0
51.33	24.0	-12035.09	1.48	17.11	11.35	4.91	28.98	93428	9219.0	5781.0	15000.0
51.3	23.9	-11639.46	2.3	17.27	8.86	7.9	29.01	93429	9220.0	5780.0	15000.0
51.25	23.9	-11639.46	2.3	17.27	8.86	7.9	29.01	93430	9221.0	5779.0	15000.0
51.19	23.9	-11545.04	2.37	17.27	10.81	8.54	29.0	93431	9222.0	5778.0	15000.0
51.11	23.9	-11545.04	2.37	17.27	10.81	8.54	29.01	93432	9223.0	5777.0	15000.0
51.02	23.9	-11515.99	2.45	17.33	10.29	8.63	29.02	93433	9224.0	5776.0	15000.0
50.91	23.9	-11515.99	2.45	17.33	10.29	8.63	29.03	93434	9225.0	5775.0	15000.0
50.8	23.9	-11500.61	2.51	17.41	8.0	7.64	29.04	93435	9226.0	5774.0	15000.0
50.68	23.9	-11500.61	2.51	17.41	8.0	7.64	29.05	93436	9227.0	5773.0	15000.0
50.56	23.9	-11496.34	2.49	17.39	8.78	8.25	29.05	93437	9228.0	5772.0	15000.0
50.43	23.9	-11496.34	2.49	17.39	8.78	8.25	29.07	93438	9229.0	5771.0	15000.0
50.3	24.0	-11504.03	2.44	17.31	9.4	7.81	29.09	93439	9230.0	5770.0	15000.0
50.17	24.0	-11504.03	2.44	17.31	9.4	7.81	29.09	93440	9231.0	5769.0	15000.0
50.04	24.0	-11504.03	2.44	17.31	9.4	7.81	29.09	93441	9232.0	5768.0	15000.0
49.91	24.0	-11504.03	2.44	17.31	9.4	7.81	29.08	93442	9233.0	5767.0	15000.0
49.78	24.0	-11498.9	2.49	17.34	7.74	8.56	29.08	93443	9234.0	5766.0	15000.0
49.65	24.0	-11498.9	2.49	17.34	7.74	8.56	29.08	93444	9235.0	5765.0	15000.0
49.52	24.0	-11498.9	2.49	17.34	7.74	8.56	29.08	93445	9236.0	5764.0	15000.0
49.39	24.0	-11498.9	2.49	17.34	7.74	8.56	29.1	93446	9237.0	5763.0	15000.0
49.26	24.0	-11498.04	2.5	17.33	8.62	8.09	29.12	93447	9238.0	5762.0	15000.0
49.13	24.0	-11498.04	2.5	17.33	8.62	8.09	29.13	93448	9239.0	5761.0	15000.0
49.0	24.0	-11504.88	2.55	17.32	6.82	8.37	29.13	93449	9240.0	5760.0	15000.0
48.87	24.0	-11504.88	2.55	17.32	6.82	8.37	29.12	93450	9241.0	5759.0	15000.0
48.74	24.0	-11497.19	2.44	17.34	8.3	8.56	29.12	93451	9242.0	5758.0	15000.0
48.61	24.0	-11497.19	2.44	17.34	8.3	8.56	29.12	93452	9243.0	5757.0	15000.0
48.48	24.0	-11500.18	2.51	17.35	8.45	7.92	29.13	93453	9244.0	5756.0	15000.0
48.35	24.0	-11500.18	2.51	17.35	8.45	7.92	29.14	93454	9245.0	5755.0	15000.0
48.22	24.0	-11501.04	2.47	17.36	8.72	6.88	29.15	93455	9246.0	5754.0	15000.0
48.09	24.0	-11501.04	2.47	17.36	8.72	6.88	29.14	93456	9247.0	5753.0	15000.0
47.96	24.0	-11497.19	2.42	17.29	7.94	8.47	29.13	93457	9248.0	5752.0	15000.0
47.83	24.0	-11497.19	2.42	17.29	7.94	8.47	29.13	93458	9249.0	5751.0	15000.0
47.7	24.0	-11042.6	4.4	17.31	7.6	16.47	29.13	93459	9250.0	5750.0	15000.0
47.57	24.0	-11042.6	4.4	17.31	7.6	16.47	29.13	93460	9251.0	5749.0	15000.0
47.44	24.0	-10833.68	8.43	15.5	15.22	33.1	29.12	93461	9252.0	5748.0	15000.0
47.32	24.0	-10833.68	8.43	15.5	15.22	33.1	29.12	93462	9253.0	5747.0	15000.0
47.2	24.0	-11033.63	9.88	14.79	17.87	36.34	29.12	93463	9254.0	5746.0	15000.0
47.08	24.0	-11033.63	9.88	14.79	17.87	36.34	29.15	93464	9255.0	5745.0	15000.0
46.96	24.0	-11203.24	10.58	14.25	21.37	39.73	29.17	93465	9256.0	5744.0	15000.0
46.84	24.0	-11203.24	10.58	14.25	21.37	39.73	29.17	93466	9257.0	5743.0	15000.0
46.73	24.0	-11322.87	10.99	14.04	24.38	39.47	29.16	93467	9258.0	5742.0	15000.0
46.61	24.0	-11322.87	10.99	14.04	24.38	39.47	29.16	93468	9259.0	5741.0	15000.0
46.5	24.0	-11389.52	11.3	13.89	22.84	39.93	29.15	93469	9260.0	5740.0	15000.0
46.39	24.0	-11389.52	11.3	13.89	22.84	39.93	29.17	93470	9261.0	5739.0	15000.0
46.28	24.0	-11442.08	11.44	13.75	23.93	40.11	29.2	93471	9262.0	5738.0	15000.0
46.18	24.0	-11442.08	11.44	13.75	23.93	40.11	29.19	93472	9263.0	5737.0	15000.0
46.09	24.0	-11463.01	11.62	13.63	24.2	39.13	29.19	93473	9264.0	5736.0	15000.0
45.99	24.0	-11463.01	11.62	13.63	24.2	39.13	29.21	93474	9265.0	5735.0	15000.0
45.91	24.0	-11482.66	11.62	13.57	25.24	40.31	29.23	93475	9266.0	5734.0	15000.0
45.82	24.0	-11482.66	11.62	13.57	25.24	40.31	29.23	93476	9267.0	5733.0	15000.0
45.74	24.0	-11488.22	11.67	13.51	24.98	41.28	29.24	93477	9268.0	5732.0	15000.0
45.67	24.0	-11488.22	11.67	13.51	24.98	41.28	29.26	93478	9269.0	5731.0	15000.0
45.6	24.1	-11494.63	11.62	13.5	25.72	41.12	29.28	93479	9270.0	5730.0	15000.0
45.53	24.1	-11494.63	11.62	13.5	25.72	41.12	29.3	93480	9271.0	5729.0	15000.0
45.47	24.1	-11492.92	11.68	13.43	25.39	42.08	29.31	93481	9272.0	5728.0	15000.0
45.41	24.1	-11492.92	11.68	13.43	25.39	42.08	29.31	93482	9273.0	5727.0	15000.0
45.34	24.1	-11499.75	11.66	13.47	25.86	40.84	29.3	93483	9274.0	5726.0	15000.0
45.28	24.1	-11499.75	11.66	13.47	25.86	40.84	29.33	93484	9275.0	5725.0	15000.0
45.23	24.1	-11503.6	11.64	13.46	25.92	40.7	29.36	93485	9276.0	5724.0	15000.0
45.17	24.1	-11503.6	11.64	13.46	25.92	40.7	29.36	93486	9277.0	5723.0	15000.0
45.11	24.1	-11503.6	11.64	13.46	25.92	40.7	29.36	93487	9278.0	5722.0	15000.0
45.06	24.1	-11503.6	11.64	13.46	25.92	40.7	29.38	93488	9279.0	5721.0	15000.0
45.0	24.0	-11496.34	11.78	13.41	25.25	42.03	29.4	93489	9280.0	5720.0	15000.0
44.94	24.0	-11496.34	11.78	13.41	25.25	42.03	29.4	93490	9281.0	5719.0	15000.0
44.88	24.0	-11497.19	11.6	13.44	27.05	41.78	29.4	93491	9282.0	5718.0	15000.0
44.82	24.0	-11497.19	11.6	13.44	27.05	41.78	29.41	93492	9283.0	5717.0	15000.0
44.76	24.0	-11498.04	11.73	13.48	24.57	40.2	29.42	93493	9284.0	5716.0	15000.0
44.71	24.0	-11498.04	11.73	13.48	24.57	40.2	29.45	93494	9285.0	5715.0	15000.0
44.65	24.0	-11497.19	11.74	13.43	24.94	41.98	29.47	93495	9286.0	5714.0	15000.0
44.6	24.0	-11497.19	11.74	13.43	24.94	41.98	29.48	93496	9287.0	5713.0	15000.0
44.56	24.0	-11501.89	11.63	13.38	26.42	42.42	29.49	93497	9288.0	5712.0	15000.0
44.53	24.0	-11501.89	11.63	13.38	26.42	42.42	29.49	93498	9289.0	5711.0	15000.0
44.5	23.9	-11499.75	11.69	13.54	24.76	39.9	29.5	93499	9290.0	5710.0	15000.0
44.48	23.9	-11499.75	11.69	13.54	24.76	39.9	29.51	93500	9291.0	5709.0	15000.0
44.46	23.9	-11497.19	11.74	13.39	25.4	41.12	29.52	93501	9292.0	5708.0	15000.0
44.44	23.9	-11497.19	11.74	13.39	25.4	41.12	29.54	93502	9293.0	5707.0	15000.0
44.42	23.9	-11499.75	11.7	13.37	26.55	42.76	29.56	93503	9294.0	5706.0	15000.0
44.4	23.9	-11499.75	11.7	13.37	26.55	42.76	29.57	93504	9295.0	5705.0	15000.0
44.38	23.9	-11498.04	11.75	13.49	25.04	40.25	29.57	93505	9296.0	5704.0	15000.0
