EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
44.7	24.0	-2739.5	6.93	6.07	25.8	79.94	27.81	59619	4930.0	10070.0	15000.0
44.69	24.0	-2739.5	6.93	6.07	25.8	79.94	27.84	59620	4931.0	10069.0	15000.0
44.68	24.0	-12328.18	12.12	16.29	20.06	37.67	27.88	59621	4932.0	10068.0	15000.0
44.65	24.0	-12328.18	12.12	16.29	20.06	37.67	27.88	59622	4933.0	10067.0	15000.0
44.62	24.0	-12729.37	0.35	19.74	5.12	1.09	27.88	59623	4934.0	10066.0	15000.0
44.58	24.0	-12729.37	0.35	19.74	5.12	1.09	27.88	59624	4935.0	10065.0	15000.0
44.53	24.0	-11912.9	1.49	20.06	-0.34	5.6	27.88	59625	4936.0	10064.0	15000.0
44.47	24.0	-11912.9	1.49	20.06	-0.34	5.6	27.9	59626	4937.0	10063.0	15000.0
44.42	24.0	-11540.77	2.23	19.64	0.07	8.64	27.92	59627	4938.0	10062.0	15000.0
44.36	24.0	-11540.77	2.23	19.64	0.07	8.64	27.93	59628	4939.0	10061.0	15000.0
44.3	23.9	-11514.28	2.28	19.64	1.03	8.65	27.94	59629	4940.0	10060.0	15000.0
44.24	23.9	-11514.28	2.28	19.64	1.03	8.65	27.96	59630	4941.0	10059.0	15000.0
44.18	23.9	-11502.74	2.29	19.62	-0.21	8.15	27.97	59631	4942.0	10058.0	15000.0
44.12	23.9	-11502.74	2.29	19.62	-0.21	8.15	27.98	59632	4943.0	10057.0	15000.0
44.05	23.9	-11509.15	2.26	19.65	0.97	8.55	27.99	59633	4944.0	10056.0	15000.0
43.99	23.9	-11509.15	2.26	19.65	0.97	8.55	28.0	59634	4945.0	10055.0	15000.0
43.92	23.9	-11493.34	2.33	19.61	-0.74	8.2	28.0	59635	4946.0	10054.0	15000.0
43.85	23.9	-11493.34	2.33	19.61	-0.74	8.2	27.99	59636	4947.0	10053.0	15000.0
43.77	23.9	-11499.75	2.31	19.61	-0.61	8.58	27.98	59637	4948.0	10052.0	15000.0
43.69	23.9	-11499.75	2.31	19.61	-0.61	8.58	27.98	59638	4949.0	10051.0	15000.0
43.6	24.0	-11499.75	2.31	19.61	-0.61	8.58	27.98	59639	4950.0	10050.0	15000.0
43.51	24.0	-11499.75	2.31	19.61	-0.61	8.58	27.99	59640	4951.0	10049.0	15000.0
43.42	24.0	-11499.75	2.27	19.59	-0.2	9.0	28.0	59641	4952.0	10048.0	15000.0
43.33	24.0	-11499.75	2.27	19.59	-0.2	9.0	28.01	59642	4953.0	10047.0	15000.0
43.24	24.0	-11499.75	2.34	19.61	-0.9	8.21	28.02	59643	4954.0	10046.0	15000.0
43.15	24.0	-11499.75	2.34	19.61	-0.9	8.21	28.01	59644	4955.0	10045.0	15000.0
43.06	24.0	-11499.75	2.27	19.59	-0.41	8.78	28.0	59645	4956.0	10044.0	15000.0
42.97	24.0	-11499.75	2.27	19.59	-0.41	8.78	28.0	59646	4957.0	10043.0	15000.0
42.88	24.0	-11505.31	2.33	19.65	-0.87	7.98	28.0	59647	4958.0	10042.0	15000.0
42.79	24.0	-11505.31	2.33	19.65	-0.87	7.98	28.0	59648	4959.0	10041.0	15000.0
42.7	24.0	-11498.04	2.32	19.61	-0.85	8.33	28.0	59649	4960.0	10040.0	15000.0
42.61	24.0	-11498.04	2.32	19.61	-0.85	8.33	28.01	59650	4961.0	10039.0	15000.0
