EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
51.12	23.8	-7.69	0.0	0.0	0.0	-0.11	28.84	92237	8732.0	6268.0	15000.0
51.11	23.8	-7.69	0.0	0.0	0.0	-0.11	28.82	92238	8733.0	6267.0	15000.0
51.1	23.8	-7698.55	15.39	10.03	25.63	76.33	28.8	92239	8734.0	6266.0	15000.0
51.09	23.8	-7698.55	15.39	10.03	25.63	76.33	28.8	92240	8735.0	6265.0	15000.0
51.06	23.8	-13147.21	2.62	16.91	16.94	6.96	28.81	92241	8736.0	6264.0	15000.0
51.03	23.8	-13147.21	2.62	16.91	16.94	6.96	28.83	92242	8737.0	6263.0	15000.0
50.99	23.8	-12248.29	1.19	17.02	10.26	3.56	28.85	92243	8738.0	6262.0	15000.0
50.94	23.8	-12248.29	1.19	17.02	10.26	3.56	28.85	92244	8739.0	6261.0	15000.0
50.88	23.8	-11727.05	2.04	17.22	9.78	7.82	28.86	92245	8740.0	6260.0	15000.0
50.82	23.8	-11727.05	2.04	17.22	9.78	7.82	28.87	92246	8741.0	6259.0	15000.0
50.75	23.8	-11560.85	2.44	17.36	8.06	7.39	28.89	92247	8742.0	6258.0	15000.0
50.68	23.8	-11560.85	2.44	17.36	8.06	7.39	28.89	92248	8743.0	6257.0	15000.0
50.6	23.8	-11521.97	2.53	17.32	6.86	8.07	28.9	92249	8744.0	6256.0	15000.0
50.5	23.8	-11521.97	2.53	17.32	6.86	8.07	28.92	92250	8745.0	6255.0	15000.0
50.38	23.8	-11504.45	2.49	17.4	8.8	8.04	28.94	92251	8746.0	6254.0	15000.0
50.24	23.8	-11504.45	2.49	17.4	8.8	8.04	28.96	92252	8747.0	6253.0	15000.0
50.08	23.8	-11502.32	2.57	17.34	6.68	8.31	28.97	92253	8748.0	6252.0	15000.0
49.92	23.8	-11502.32	2.57	17.34	6.68	8.31	28.97	92254	8749.0	6251.0	15000.0
49.75	23.8	-11498.9	2.45	17.33	7.73	8.09	28.97	92255	8750.0	6250.0	15000.0
49.59	23.8	-11498.9	2.45	17.33	7.73	8.09	28.97	92256	8751.0	6249.0	15000.0
49.44	23.8	-11498.9	2.45	17.33	7.73	8.09	28.97	92257	8752.0	6248.0	15000.0
49.31	23.8	-11498.9	2.45	17.33	7.73	8.09	28.98	92258	8753.0	6247.0	15000.0
49.2	23.8	-11504.45	2.52	17.34	9.34	8.31	29.0	92259	8754.0	6246.0	15000.0
49.12	23.8	-11504.45	2.52	17.34	9.34	8.31	29.0	92260	8755.0	6245.0	15000.0
49.05	23.8	-11507.44	2.5	17.28	8.33	9.29	29.0	92261	8756.0	6244.0	15000.0
49.0	23.8	-11507.44	2.5	17.28	8.33	9.29	28.98	92262	8757.0	6243.0	15000.0
48.96	23.8	-11500.61	2.48	17.38	8.59	6.75	28.97	92263	8758.0	6242.0	15000.0
48.93	23.8	-11500.61	2.48	17.38	8.59	6.75	28.99	92264	8759.0	6241.0	15000.0
48.89	23.8	-11506.59	2.41	17.36	9.52	7.95	29.01	92265	8760.0	6240.0	15000.0
48.84	23.8	-11506.59	2.41	17.36	9.52	7.95	29.01	92266	8761.0	6239.0	15000.0
48.78	23.8	-11498.9	2.46	17.35	7.56	9.0	29.01	92267	8762.0	6238.0	15000.0
48.7	23.8	-11498.9	2.46	17.35	7.56	9.0	29.01	92268	8763.0	6237.0	15000.0
48.6	23.8	-11500.18	2.45	17.32	9.36	8.86	29.01	92269	8764.0	6236.0	15000.0
48.48	23.8	-11500.18	2.45	17.32	9.36	8.86	29.01	92270	8765.0	6235.0	15000.0
48.35	23.8	-11502.32	2.53	17.37	7.59	7.81	29.0	92271	8766.0	6234.0	15000.0
48.22	23.8	-11502.32	2.53	17.37	7.59	7.81	28.99	92272	8767.0	6233.0	15000.0
48.09	23.8	-11498.47	2.45	17.38	8.56	7.97	28.99	92273	8768.0	6232.0	15000.0
47.95	23.8	-11498.47	2.45	17.38	8.56	7.97	28.99	92274	8769.0	6231.0	15000.0
47.81	23.8	-11240.84	3.3	17.39	6.31	12.18	29.0	92275	8770.0	6230.0	15000.0
47.68	23.8	-11240.84	3.3	17.39	6.31	12.18	29.01	92276	8771.0	6229.0	15000.0
47.54	23.8	-10802.49	7.76	15.96	12.54	28.41	29.01	92277	8772.0	6228.0	15000.0
47.42	23.8	-10802.49	7.76	15.96	12.54	28.41	29.02	92278	8773.0	6227.0	15000.0
47.3	23.9	-10968.26	9.52	14.92	17.57	36.78	29.02	92279	8774.0	6226.0	15000.0
47.19	23.9	-10968.26	9.52	14.92	17.57	36.78	29.02	92280	8775.0	6225.0	15000.0
47.07	23.9	-11158.38	10.37	14.48	20.42	37.32	29.02	92281	8776.0	6224.0	15000.0
46.96	23.9	-11158.38	10.37	14.48	20.42	37.32	29.02	92282	8777.0	6223.0	15000.0
46.85	23.9	-11158.38	10.37	14.48	20.42	37.32	29.02	92283	8778.0	6222.0	15000.0
46.73	23.9	-11158.38	10.37	14.48	20.42	37.32	29.04	92284	8779.0	6221.0	15000.0
46.62	23.9	-11378.42	11.2	13.86	23.49	41.4	29.07	92285	8780.0	6220.0	15000.0
46.52	23.9	-11378.42	11.2	13.86	23.49	41.4	29.07	92286	8781.0	6219.0	15000.0
46.41	23.9	-11378.42	11.2	13.86	23.49	41.4	29.07	92287	8782.0	6218.0	15000.0
46.3	23.9	-11378.42	11.2	13.86	23.49	41.4	29.07	92288	8783.0	6217.0	15000.0
46.2	24.0	-11426.69	11.44	13.67	24.38	41.93	29.08	92289	8784.0	6216.0	15000.0
46.1	24.0	-11426.69	11.44	13.67	24.38	41.93	29.09	92290	8785.0	6215.0	15000.0
46.0	24.0	-11477.11	11.61	13.54	25.55	41.34	29.1	92291	8786.0	6214.0	15000.0
45.9	24.0	-11477.11	11.61	13.54	25.55	41.34	29.12	92292	8787.0	6213.0	15000.0
45.81	24.0	-11483.52	11.58	13.54	27.37	40.24	29.14	92293	8788.0	6212.0	15000.0
45.72	24.0	-11483.52	11.58	13.54	27.37	40.24	29.14	92294	8789.0	6211.0	15000.0
45.63	24.0	-11495.91	11.68	13.42	27.44	42.1	29.15	92295	8790.0	6210.0	15000.0
45.54	24.0	-11495.91	11.68	13.42	27.44	42.1	29.17	92296	8791.0	6209.0	15000.0
45.46	24.0	-11495.91	11.6	13.53	25.61	40.44	29.2	92297	8792.0	6208.0	15000.0
45.38	24.0	-11495.91	11.6	13.53	25.61	40.44	29.21	92298	8793.0	6207.0	15000.0
45.3	24.0	-11495.91	11.67	13.42	25.58	41.88	29.22	92299	8794.0	6206.0	15000.0
45.22	24.0	-11495.91	11.67	13.42	25.58	41.88	29.21	92300	8795.0	6205.0	15000.0
45.15	24.0	-11492.92	11.6	13.5	27.58	41.09	29.21	92301	8796.0	6204.0	15000.0
45.07	24.0	-11492.92	11.6	13.5	27.58	41.09	29.22	92302	8797.0	6203.0	15000.0
45.01	24.0	-11498.04	11.68	13.5	25.25	40.9	29.24	92303	8798.0	6202.0	15000.0
44.94	24.0	-11498.04	11.68	13.5	25.25	40.9	29.27	92304	8799.0	6201.0	15000.0
44.88	24.0	-11502.74	11.61	13.49	24.67	42.05	29.3	92305	8800.0	6200.0	15000.0
44.82	24.0	-11502.74	11.61	13.49	24.67	42.05	29.3	92306	8801.0	6199.0	15000.0
44.78	24.0	-11498.04	11.69	13.43	27.72	42.05	29.3	92307	8802.0	6198.0	15000.0
44.73	24.0	-11498.04	11.69	13.43	27.72	42.05	29.31	92308	8803.0	6197.0	15000.0
44.7	24.0	-11498.9	11.7	13.46	25.12	40.42	29.33	92309	8804.0	6196.0	15000.0
44.67	24.0	-11498.9	11.7	13.46	25.12	40.42	29.36	92310	8805.0	6195.0	15000.0
44.64	24.0	-11503.17	11.61	13.51	25.06	41.64	29.38	92311	8806.0	6194.0	15000.0
44.61	24.0	-11503.17	11.61	13.51	25.06	41.64	29.38	92312	8807.0	6193.0	15000.0
44.58	24.0	-11503.17	11.61	13.51	25.06	41.64	29.38	92313	8808.0	6192.0	15000.0
44.55	24.0	-11503.17	11.61	13.51	25.06	41.64	29.38	92314	8809.0	6191.0	15000.0
44.52	24.0	-11503.17	11.64	13.46	27.43	42.52	29.39	92315	8810.0	6190.0	15000.0
44.49	24.0	-11503.17	11.64	13.46	27.43	42.52	29.39	92316	8811.0	6189.0	15000.0
44.46	24.0	-11498.9	11.69	13.56	24.75	39.35	29.4	92317	8812.0	6188.0	15000.0
44.43	24.0	-11498.9	11.69	13.56	24.75	39.35	29.41	92318	8813.0	6187.0	15000.0
